company source no,filename,facility name,st addr, city addr, zip addr
22-0143,22-0143 Fl,Flakeboard America Limited Duraflake,2550 Old Salem Road NE,Albany,97321
22-8042,228042-2No,Albany Compressor Station,34939 Spicer Drive SE,Albany,97321
15-0028,150028Lind,Linde Gas North America LLC,470 West Antelope Road,White City,97503
18-0014,180014Colu,Columbia Forest Products Columbia Plywood Corporation,4949 S Highway 97,Klamath Falls,97601
03-9517,039517ABMa,AB Mauri Baking Solutions,26994 SW 95th Avenue,Wilsonville,97070
09-9509,099509Paci,Pacific Pellet,601 NE Antler Street,Redmond,97756
10-0154,100154VTWe,V-T West Inc. Oregon Division,393 Industrial Drive,Roseburg,97471
34-2790,342790Toky,Tokyo Ohka Kogyo America Inc.,4600 NE Brookwood Parkway,Hillsboro,97124
10-0031,100031Doug,Roseburg Landfill,384 McLain West Avenue,Roseburg ,97470
26-1889,261889JRSi,J.R. Simplot Company Rivergate Terminal,14003 N Rivergate Blvd,Portland,97203
21-0005,210005-1Ge,Georgia - Pacific Toledo LLC,1400 SE Butler Bridge Rd,Toledo,97391
25-0001,250001Finl,Finley Buttes Regional Landfill,73221 Bombing Range Road,Boardman,97818
24-5398,245398Cova,Covanta Marion Inc.,4850 Brooklake Rd. NE,Brooks,97305
26-2952,262952Unit,United States Bakeries dba as Franz Bakery,340 NE 11th Avenue,Portland,97232
26-1869,261869Colu,Columbia Steel Casting Co. Inc.,10425 N. Bloss Avenue,Portland,97283
37-0544,370544-1No,Portable Plant,Current - Approx 68350 Columbia River Highway,Ranier,Not applicable
34-0016,340016-1AG,AGC Electronics,4375 NW 235th Ave,Hillsboro,97124
34-9510,349510Summ,Summit Natural Energy,535 N. 4th Ave.,Cornelius,97113
14-0003,140003Bear,Bear Mountain Forest Products Inc.,5 NW Cramblett Way,Cascade Locks OR,97014
26-2492,262492Nort,Northwest Pipe Company,12005 N Burgard,Portland,97203
26-0076,260076Flin,FLINT GROUP NORTH AMERICA,2985 N MARINE DR,PORTLAND,97217-7745
04-0006,040006BioO,BioOregon Protein Inc.,1935 NW Warrenton Drive,Warrenton,97146
22-0011,220011Paci,Pacific Cast Products,150 Queen Ave SW,Albany,97322
26-9554,269554Sign,Signature Graphics Inc.,15040 NE Mason St.,Portland,97230
26-1891,261891-1As,Ash Grove Cement Company - Rivergate,13939 N. Rivergate Blvd.,Portland,97203
27-0012,270012Medu,Meduri Farms Inc.,12375 Smithfield Road,Dallas,97338
10-0025,100025Rose,Roseburg Forest Products Dillard Complex,10599 Old Highway 99 South,Dillard,97432
36-0040,360040Megg,Meggitt Polymers & Composites,2010 Lafayette Avenue,McMinnville,97128
16-0026,160026GasT,Gas Transmission Northwest LLC Compressor Station #11,Oregon Hwy. 26 12 miles south of Madras Oregon,Madras,97741
03-0010,030010Clac,Clackamas County Kellogg Creek Water Pollution Control Plant,11525 SE McLoughlin Blvd.,Milwaukie,97222
28-0007,290007Hamp,Hampton Lumber Mills Inc. dba Tillamook Lumber Company,3111 East 3rd Street,Tillamook,97141
06-0010,060010Rose,Roseburg Forest Products Coquille Plywood,Cedar Point Road,Coquille,97423
22-8041,228041Selm,Selmet Inc.,33992 SE Seven Mile Ln.,Albany,97322
05-2367,052367Nort,Northwest Aggregates Co. (Santosh Facility),34885 N. Honeyman Road,Scappoose,97056
02-2298,022298Oreg,Oregon State University,3015 SW Western Blvd,Corvallis,97331
24-9205,249205Akzo,AkzoNobel Coatings Inc.,1660 Cross St. SE ,Salem,97302
18-0096,180096GasT,Gas Transmission Northwest LLC Compressor Station #13,¼ mile west of Diamond Lake Junction off US 97 & 138,Chemult,97731
34-0067,340067Coor,CoorsTek Oregon Operations,555 NE 53rd Ave,Hillsboro,97124
03-0113,03-0113_Xe,Xerox,27063 SW Canyon Creek Rd.,Wilsonville,97070
34-0144,340144Davi,Davis Tool Inc.,3740 NW Aloclek Place,Hillsboro,97124
22-8056,228056-1En,EnerG2 Technologies Inc.,3000 Calapooia Street SW,Albany,97322
09-0015,090015JELD,JELD-WEN inc. dba JELD-WEN,62845 Boyd Acres Road,Bend,97701
26-3051,263051Inte,International Paper- Portland Container,1601 NE 192nd ave,Portland,97230
26-2914,262914Port,Port of Portland,7200 NE Airport Way,Portland,97218
26-1867,261867-1PC,PCC Structurals Inc. LPC,4600 SE Harney Drive,Portland,97206
03-0016,030016Wolf,Wolf Steel Foundry Inc.,6160 South Whiskey Hill Road,Hubbard Oregon,97032
09-0036,090036Bend,Bend Research Inc. BRI-M1,20503 Builders Street,Bend,97701
03-0041,030041McCl,McClure Industries,9051 SE 55th Avenue,Portland,97206
36-5034,36-5034_Ca,Cascade Steel Rolling Mills,3200 North Highway 99W,McMinnville,97128
15-0030,15-0030_Ci,City of Medford Vernon Thorpe RWRF,1100 Kirtland Road,Central Point,97502
05-2605,052605Fore,Forest Energy Oregon LLC,2305 2nd Street,Columbia City,97018
26-3009,263009Arcl,Arclin Portland Division,2301 N Columbia Boulevard,Portland,97217
03-9507,039507NWNa,Molalla Gate Station,10405 S. Barnards Road,Molalla Gate Station,97038
26-0027,260027-1Se,On Semiconductor,23400 NE Glisan St.,Gresham,97030
26-3224,263224-1Vi,Vigor Industrial LLC,5555 N. Channel Ave,Portland,97217
25-0006,250006Paci,Pacific Ethanol Columbia LLC,71335 Rail Loop Drive,Boardman,97818
10-0013,100013-1Ro,Roseburg Forest Products Riddle Engineered Wood,4500 Riddle Bypass Road,Riddle,97469
15-0014,150014-2Mu,Murphy Plywood Softwood Division,5205 North River Road,Rogue River,97537
36-0026,360026-1Zi,Lippert Components Inc. Plant 107,150 SE Booth Bend Road,McMinnville,97128
30-0028,300028VADA,VadataInc,2400 Beach Access Road,Umatilla,97882
25-0021,250021Novu,Novus Pacific LLC,Columbia Blvd,Boardman Oregon,97818
24-7067,247067Norp,NORPAC Foods Inc. Stayton Plant #1,930 W Washington Street,Stayton,97383
27-0005,270005Elka,Elkay Wood Products Company,625 Hoffman Road,Independence,97351-9805
26-9550,269550Port,Portland Service Center,3700 SE 17th Ave,Portland,97202-3833
