"","company.source.no","filename","st.addr","city.addr","zip.addr","facility.name","cas_code","cas_name","unit_a","unit_b","unit_c","total_data_a","total_data_b","total_data_c"
"1","01-0029","010029-1As","33060 Shirttail Creek Road","Durkee","97905","Ash Grove Cement Company - Durkee"," 18540-29-9"," chromium vi"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0554466948722673,0.704129329882759,0.848520668068359
"2","01-0029","010029-1As","33060 Shirttail Creek Road","Durkee","97905","Ash Grove Cement Company - Durkee"," 7440-50-8"," copper and compounds"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",7.81599961436552,6.64023128167113,8.23622066240094
"3","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 100-41-4"," ethyl benzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.000432,0.00346896,0.005184
"4","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 100-42-5"," styrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0002311,0.001855733,0.0027732
"5","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 106-93-4"," ethylene dibromide"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0003149,0.002528647,0.0037788
"6","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 106-99-0"," 1,3-butadiene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.003943,0.03166229,0.047316
"7","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 107-02-8"," acrolein"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.03375,0.2710125,0.405
"8","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 108-67-8"," 1,3,5-trimethylbenzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",7.2e-05,0.00057816,0.000864
"9","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 108-88-3"," toluene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0044100068,0.035412354604,0.0529200816
"10","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 108-90-7"," chlorobenzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001905,0.001529715,0.002286
"11","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 108-95-2"," phenol"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001684,0.001352252,0.0020208
