"address","lat","lon"
"8440 N KERBY AVE, PORTLAND, OR 97217",45.58481,-122.672257
"8916 NE VANCOUVER WAY, PORTLAND, OR 97211",45.590218,-122.662224
"2900 NW 29TH AVE, PORTLAND, OR 97210",45.543585,-122.710964
"1208 N RIVER ST, PORTLAND, OR 97227",45.539257,-122.679788
"5949 NE CULLY BLVD, PORTLAND, OR 97218",45.566269,-122.591568
"4850 NW FRONT AVE, PORTLAND, OR 97240",45.557857,-122.730969
"6637 SE 100TH AVE, PORTLAND, OR 97266",45.474861,-122.561203
"12409 NE SAN RAFAEL ST, PORTLAND, OR 97230",45.537292,-122.535426
"1339 NE EASTWOOD, GRESHAM, OR 97030",45.505874,-122.462822
"10717 SE DIVISION ST, PORTLAND, OR 97266",45.50431,-122.553022
"HARDTACK ISLAND - WILLAMETTE RIVER, PORTLAND, OR 972HH",45.5236111,-122.675
"10404 NE MARX ST, PORTLAND, OR 97220",45.56165,-122.556579
"1900 N INTERSTATE AVE, PORTLAND, OR 97227",45.536884,-122.674624
"5700 NE SUNDIAL RD, TROUTDALE, OR 97060",45.559294,-122.400844
"755 NE COLUMBIA BLVD, PORTLAND, OR 97211",45.580111,-122.657608
"2405 NE 244TH AVE, WOOD VILLAGE, OR 97060",45.541671,-122.411721
"2205 NE 244TH, TROUTDALE, OR 97060",45.540219,-122.411781
"1835 N MARINE DR, PORTLAND, OR 97217",45.607649,-122.686259
"5034 NW FRONT AVE, PORTLAND, OR 97210",45.558643,-122.732085
"5225 N CHANNEL AVE, PORTLAND, OR 97217",45.563284,-122.7204
"5335 NE 109TH AVE, PORTLAND, OR 97220",45.561481,-122.55073
"2909 NW 31ST AVE, PORTLAND, OR 97210",45.542566,-122.713797
"714 NE 55TH AVE, PORTLAND, OR 97213",45.528388,-122.6075
"2155 N COLUMBIA BLVD, PORTLAND, OR 97217",45.586223,-122.68805
"3841 N COLUMBIA BLVD, PORTLAND, OR 97217",45.592826,-122.712213
"725 NW DUNBAR, TROUTDALE, OR 97060",45.544795,-122.407831
"10300 SE MAIN ST, PORTLAND, OR 97216",45.514106,-122.558391
"5225 SE 26TH AVE, PORTLAND, OR 97202",45.485355,-122.639769
"1848 NW 23RD AVE, PORTLAND, OR 97210",45.535839,-122.698756
"9420 NW SAINT HELENS RD, PORTLAND, OR 97231",45.590228,-122.778148
"4950 N BASIN AVE, PORTLAND, OR 97217",45.559686,-122.70108
"630 SW Mill St, PORTLAND, OR 97207",45.512425,-122.682458
"1225 NE 2ND AVE, PORTLAND, OR 97232",45.532942,-122.663688
"2801 N GANTENBEIN AVE, PORTLAND, OR 97227",45.542818,-122.669442
"4805 NE GLISAN ST, PORTLAND, OR 97213",45.52659,-122.614154
"6040 SE BELMONT ST, PORTLAND, OR 97215",45.516684,-122.601767
"2201 LLOYD CTR, PORTLAND, OR 97232",45.531975,-122.652981
"1500 SE 130TH AVE, PORTLAND, OR 97233",45.511638,-122.529978
"1441 N COLUMBIA BLVD, PORTLAND, OR 97217",45.584237,-122.681099
"546 NE 12TH AVE, PORTLAND, OR 97232",45.526871,-122.653652
"0615 SW PALATINE HILL RD, PORTLAND, OR 97219",45.450117,-122.672502
"3203 SE WOODSTOCK BLVD, PORTLAND, OR 97202",45.479256,-122.630384
"1015 NW 22ND AVE, PORTLAND, OR 97210",45.529927,-122.696658
"12000 SW 49TH AVE, PORTLAND, OR 97219",45.439416,-122.727726
"2720 SE 6TH AVE, PORTLAND, OR 97202",45.503312,-122.659746
"3181 SW SAM JACKSON PARK RD, PORTLAND, OR 97239",45.499288,-122.688076
"223 SE 122ND AVE, PORTLAND, OR 97233",45.520997,-122.53784
"17819 NE Riverside Pkwy Ste A, Portland, OR 97230",45.555175,-122.472884
"17819 NE Riverside Pkwy Ste B, Portland, OR 97230",45.555175,-122.472884
"1067 NE COLUMBIA BLVD, PORTLAND, OR 97211",45.57911,-122.654213
"0319 SW TAYLORS FERRY RD, PORTLAND, OR 97219",45.467255,-122.673198
"6705 SE 14TH AVE, PORTLAND, OR 97202",45.47439,-122.651806
"24450 W COLUMBIA, TROUTDALE, OR 97060",45.360928,-122.776612
"4733 NE THOMPSON, PORTLAND, OR 97213",45.539109,-122.614744
"520 W BLVD POWELL, GRESHAM, OR 97030",45.489297,-122.471796
"0300 SW TAYLORS FERRY, PORTLAND, OR 97219",45.463238,-122.681453
"4835 NE PACIFIC ST, PORTLAND, OR 97213",45.52978,-122.612632
"N LOMBARD ST FOOT OF, PORTLAND, OR 97203",45.577189,-122.680182
"15840 N SIMMONS RD, PORTLAND, OR 97203",45.639213,-122.768537
"9945 N Burgard Way, Portland, OR 97203",45.613042,-122.78096
"2429 N BORTHWICK AVE, PORTLAND, OR 97227",45.540209,-122.67386
"1225 W BURNSIDE ST, PORTLAND, OR 97209",45.522996,-122.68331
"4600 SE HARNEY DR, PORTLAND, OR 97206",45.462476,-122.615256
"1233 NW 12TH AVE, PORTLAND, OR 97209",45.531724,-122.683542
"1501 SW JEFFERSON ST, PORTLAND, OR 97201",45.517612,-122.689559
"5001 N. COLUMBIA BLVD., PORTLAND, OR 97203",45.594093,-122.718685
"18480 SE STARK ST, GRESHAM, OR 97223",45.519078,-122.473087
"14355 N BYBEE LAKE CT, PORTLAND, OR 97203",45.627855,-122.742151
"1401 NE 68TH AVE, PORTLAND, OR 97213",45.532817,-122.592827
"7832 N LEADBETTER RD, PORTLAND, OR 97203",45.635794,-122.75636
"1201 SE 3RD AVE, PORTLAND, OR 97214",45.514381,-122.662792
"8120 NE 33RD DR, PORTLAND, OR 97211",45.583189,-122.633121
"1303 N RIVER ST, PORTLAND, OR 97227",45.539688,-122.680917
"2800 NW FRONT AVE, PORTLAND, OR 97210",45.542769,-122.696082
"7559 NE 33RD DRIVE, PORTLAND, OR 97211",45.577769,-122.633472
"1532 SE 3RD AVENUE, PORTLAND, OR 97214",45.512009,-122.662732
"5565 N DOLPHIN ST, PORTLAND, OR 97217",45.562446,-122.715283
"5534 NE 122ND AVE, PORTLAND, OR 97230",45.563663,-122.534943
"4706 SE 18TH AVE, PORTLAND, OR 97202",45.488413,-122.647267
"310 SE STEPHENS ST, PORTLAND, OR 97214",45.509304,-122.662771
"7116 SE 92ND AVE, PORTLAND, OR 97266",45.470926,-122.568558
"8752 NE SANDY BLVD, PORTLAND, OR 97220",45.55485,-122.572876
"23585 NE SANDY BLVD, WOOD VILLAGE, OR 97060",45.543031,-122.422117
"11711 SE 82ND AVE, PORTLAND, OR 97266",45.444469,-122.578978
"6708 NE GLISAN, PORTLAND, OR 97213",45.526397,-122.594417
"8500 N COLUMBIA BLVD, PORTLAND, OR 97203",45.60145,-122.744092
"4031 SE 26TH, PORTLAND, OR 97202",45.464285,-122.637171
"1418 NE 119TH AVE, PORTLAND, OR 97220",45.533017,-122.54019
"2400 NE HOLLADAY ST, PORTLAND, OR 97232",45.529956,-122.64139
"9127 SE STARK ST, PORTLAND, OR 97216",45.519146,-122.56976
"6805 SW MACADAM AVE, PORTLAND, OR 97219",45.475073,-122.671781
"10510 SE REEDWAY ST, PORTLAND, OR 97266",45.481052,-122.554292
"10310 SE FOSTER RD, PORTLAND, OR 97266",45.476689,-122.557321
"10033 E BURNSIDE ST, PORTLAND, OR 97216",45.52273,-122.560607
"801 N LOMBARD ST, PORTLAND, OR 97217",45.57722,-122.674789
"1300 NE DIVISION ST, GRESHAM, OR 97030",45.504722,-122.418613
"637 SE SALMON ST, PORTLAND, OR 97214",45.514445,-122.659477
"10000 SE ANKENY ST, PORTLAND, OR 97216",45.521645,-122.561312
"1925 E POWELL BLVD, GRESHAM, OR 97080",45.496605,-122.412321
"901 NE GERTZ RD, PORTLAND, OR 97211",45.59032,-122.661902
"4030 NE BUFFALO ST, PORTLAND, OR 97211",45.575999,-122.622111
"8070 NE AIRTRANS WAY, PORTLAND, OR 97218",45.582984,-122.605937
"3000 N HAYDEN ISLAND DR, PORTLAND, OR 97217",45.621548,-122.694632
"7510 N DELAWARE AVE, PORTLAND, OR 97217",45.577177,-122.692337
"4709 NE 148TH AVE, PORTLAND, OR 97230",45.557836,-122.51037
"2425 NW 23RD PL, PORTLAND, OR 97210",45.540234,-122.700088
"14400 N RIVERGATE BLVD, PORTLAND, OR 97203",45.621753,-122.780138
"9710 NE Glass Plant Road, PORTLAND, OR 97220",45.565168,-122.567092
"5501 NW FRONT AVE, PORTLAND, OR 97210",45.561889,-122.73626
"5531 NW DOANE AVE, PORTLAND, OR 97210",45.561277,-122.742738
"5880 NW ST HELENS RD, PORTLAND, OR 97210",45.590097,-122.777919
"9930 NW SAINT HELENS RD, PORTLAND, OR 97231",45.59311,-122.781219
"2141 NW 25TH AVE, PORTLAND, OR 97210",45.537547,-122.702929
"6936 N FATHOM ST, PORTLAND, OR 97217",45.572015,-122.717349
"12005 N BURGARD WAY, PORTLAND, OR 97203",45.612912,-122.781789
"3400 N MARINE DR, PORTLAND, OR 97217",45.613243,-122.703276
"4700 NW FRONT AVE, PORTLAND, OR 97210",45.557857,-122.730969
"2301 N COLUMBIA BLVD, PORTLAND, OR 97217",45.586509,-122.689612
"11910 NW SAINT HELENS RD, PORTLAND, OR 97231",45.610432,-122.79597
"5555 N CHANNEL AVE BLDG 71, PORTLAND, OR 97217",45.5633,-122.72046
"9363 N COLUMBIA BLVD, PORTLAND, OR 97203",45.605963,-122.754687
"18456 NE WILKES RD, GRESHAM, OR 97230",45.540665,-122.474283
"6123 N MARINE DR, PORTLAND, OR 97203",45.621013,-122.727978
"23400 NE GLISAN ST, GRESHAM, OR 97030",45.5278,-122.428322
"8735 N HARBORGATE ST, PORTLAND, OR 97203",45.620172,-122.765503
"9269 N BRADFORD ST, PORTLAND, OR 97203",45.591582,-122.764857
"701 N HUNT ST, PORTLAND, OR 97217",45.585564,-122.673047
"TROUTDALE REYNOLDS INDUSTRIAL PK LOT 3, TOUTDALE, OR 97060",45.53346,-122.3877
"3366 NW YEON AVE, PORTLAND, OR 97210",45.545812,-122.708428
"3750 NW YEON AVE, PORTLAND, OR 97210",45.549347,-122.718909
"10425 N BLOSS AVE, PORTLAND, OR 97203",45.598423,-122.729385
"14003 N RIVERGATE BLVD, PORTLAND, OR 97203",45.621753,-122.780138
"13939 N RIVERGATE BLVD, PORTLAND, OR 97203",45.621753,-122.780138
"17401 NE HALSEY ST, PORTLAND, OR 97230",45.534623,-122.48302
"3131 N COLUMBIA BLVD, PORTLAND, OR 97217",45.590221,-122.702404
"900 N THUNDERBIRD WAY, PORTLAND, OR 97227",45.530548,-122.668606
"800 N RIVER ST., PORTLAND, OR 97227",45.536943,-122.675574
"5528 NW DOANE AVE, PORTLAND, OR 97210",45.561277,-122.742738
"6350 NW FRONT AVE, PORTLAND, OR 97210",45.57039,-122.747141
"19000 NE SANDY BLVD, PORTLAND, OR 97230",45.545467,-122.467405
"3800 NW ST HELENS RD, PORTLAND, OR 97210",45.590097,-122.777919
"3000 NW SAINT HELENS RD, PORTLAND, OR 97210",45.5441,-122.721796
