"","Source.Number","Source.Name","Site.Address","City,.State.Zip","Operating.Status","SIC.Codes","NAICS.Codes","X8","Permit.Number","DEQ.Permit.and.Review","addr","in_deq_permits","FacilityID","FacilityName","BusinessType","NAICS1","NAICSDesc1","NAICS2","NAICSDesc2","ChemicalID","ChemName","HazardousIngredient","AvgAmt","MaxAmt","UnitDesc","StorageType1","HazClass1Desc","HazClass2Desc","in_chem_storage_data","addr_id","key"
"1","26-0051","Precision Equipment, Inc. ","8440 N KERBY AVE","PORTLAND, OR 97217-1017",NA,"3471, 3599","332813","1","26-0051-01-01","www.portlandcleanair.org/26-0051","8440 N KERBY AVE, PORTLAND, OR 97217",1,8319,"PRECISION EQUIPMENT INC","MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS",0,"",14963,"HYDRAULIC OIL","BASE LUBRICATING OILS","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Combustible Material","",1,1046,"26-0051"
"2","26-0051","Precision Equipment, Inc. ","8440 N KERBY AVE","PORTLAND, OR 97217-1017",NA,"3471, 3599","332813","1","26-0051-01-01","www.portlandcleanair.org/26-0051","8440 N KERBY AVE, PORTLAND, OR 97217",1,8319,"PRECISION EQUIPMENT INC","MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS",0,"",31632,"WASTE CHROMIUM AND FLOOR DRY","CHROMIUM & SODIUM HYDROXIDE","1,000-4,999","1,000-4,999","POUNDS","PLASTIC OR NON-METALLIC DRUM","Corrosive Material","",1,1046,"26-0051"
"3","26-0051","Precision Equipment, Inc. ","8440 N KERBY AVE","PORTLAND, OR 97217-1017",NA,"3471, 3599","332813","1","26-0051-01-01","www.portlandcleanair.org/26-0051","8440 N KERBY AVE, PORTLAND, OR 97217",1,8319,"PRECISION EQUIPMENT INC","MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS",0,"",7029,"CHROMIC ACID FLAKES","CHROMIUM TRIOXIDE","500-999","500-999","POUNDS","CAN","Poisonous Material","Oxidizers",1,1046,"26-0051"
"4","26-0051","Precision Equipment, Inc. ","8440 N KERBY AVE","PORTLAND, OR 97217-1017",NA,"3471, 3599","332813","1","26-0051-01-01","www.portlandcleanair.org/26-0051","8440 N KERBY AVE, PORTLAND, OR 97217",1,8319,"PRECISION EQUIPMENT INC","MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS",0,"",7030,"CHROMIC ACID SOLUTION","CHROMIC ACID","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Corrosive Material","",1,1046,"26-0051"
"5","26-9841","Donaldson & Landry Machine Shop ","8916 NE VANCOUVER WAY","PORTLAND, OR 97211-1350",NA,"3471","332813","1","26-9841-01-01","www.portlandcleanair.org/26-9841","8916 NE VANCOUVER WAY, PORTLAND, OR 97211",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,"26-9841"
"6","26-0067","West Coast Wire Rope & Rigging, Inc. ","2900 NW 29TH AVE","PORTLAND, OR 97210-1706",NA,"5051","423510","5","26-0067-05-01","www.portlandcleanair.org/26-0067","2900 NW 29TH AVE, PORTLAND, OR 97210",1,34595,"WEST COAST WIRE ROPE & RI","WIRE ROPE FABRICATION & WAREHOUSING",332618,"OTHER FABRICATED WIRE PRODUCT MFG",423710,"HARDWARE WHSLE",33335,"ZINC","ZINC","1,000-4,999","1,000-4,999","POUNDS","STEEL DRUM","Miscellaneous Hazardous Material","",1,602,"26-0067"
"7","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",13583,"GLENIUM 3030 NS","NONE LISTED ON MSDS","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Combustible Material","",1,129,"26-1764"
"8","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",18011,"MB AE 90","NONE LISTED ON SDS","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,129,"26-1764"
"9","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",23060,"POZZOLITH 200 N","TRIETHANOLAMINE","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,129,"26-1764"
"10","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",23064,"POZZOLITH NC534","CALCIUM NITRATE, TETRAHYDRATE","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,129,"26-1764"
