"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Type Description"
"K F Jacobsen & Co., Inc. ","1208 N RIVER ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-1764","Yes","Yes",7," Asphalt Plants"
"Porter W. Yett Company ","5949 NE CULLY BLVD, PORTLAND, OR 97218","www.portlandcleanair.org/26-1767","Yes","No",7," Asphalt Plants"
"Lakeside Industries Front Avenue Fac.","4850 NW FRONT AVE, PORTLAND, OR 97240","www.portlandcleanair.org/26-3242","Yes","No",7," Asphalt Plants"
"Lakeside Industries, Inc. 100th Ave-Foster  Road Asphalt Plant","6637 SE 100TH AVE, PORTLAND, OR 97266","www.portlandcleanair.org/26-3305","Yes","No",7," Asphalt Plants"
"Environmentally Conscious Recycling, Inc ","12409 NE SAN RAFAEL ST, PORTLAND, OR 97230","www.portlandcleanair.org/26-0086","Yes","No",8," Rock Crushers"
"Lakeside Industries Front Avenue","4850 NW FRONT AVE, PORTLAND, OR 97240","www.portlandcleanair.org/26-0109","Yes","No",8," Rock Crushers"
"Porter W. Yett Company ","5949 NE CULLY BLVD, PORTLAND, OR 97218","www.portlandcleanair.org/26-0110","Yes","No",8," Rock Crushers"
"Morse Bros., Inc. dba Knife River Knife River Gresham Crusher","1339 NE EASTWOOD, GRESHAM, OR 97030","www.portlandcleanair.org/26-0129","Yes","No",8," Rock Crushers"
"Portland Sand & Gravel Company ","10717 SE DIVISION ST, PORTLAND, OR 97266","www.portlandcleanair.org/26-1917","Yes","No",8," Rock Crushers"
"Ross Island Sand & Gravel Co. Hardtack Island","HARDTACK ISLAND - WILLAMETTE RIVER, PORTLAND, OR 972HH","www.portlandcleanair.org/26-1941","Yes","No",8," Rock Crushers"
"Brooks Products Newcastle Precast","10404 NE MARX ST, PORTLAND, OR 97220","www.portlandcleanair.org/26-0052","Yes","Yes",9," Ready-Mix/Concrete Plants"
"City of Portland Bureau of Water Works","1900 N INTERSTATE AVE, PORTLAND, OR 97227","www.portlandcleanair.org/26-0071","Yes","No",9," Ready-Mix/Concrete Plants"
"Morse Bros., Inc. ","5700 NE SUNDIAL RD, TROUTDALE, OR 97060","www.portlandcleanair.org/26-0101","Yes","Yes",9," Ready-Mix/Concrete Plants"
