"site_name_wash_co_no_permit","in_wash_co_no_permit","address","lat","lng"
"ACLARYN PLASTICS INC",1,"5405 SE ALEXANDER ST STE L, HILLSBORO, OR 97123",45.497572,-122.926602
"ACUMED INC",1,"5885 NW CORNELIUS PASS RD, HILLSBORO, OR 97124",45.563133,-122.896603
"ADVANCED COLOR SYSTEMS INC",1,"10350 SW TUALATIN RD, TUALATIN, OR 97062",45.389673,-122.782889
"AGILYX CORPORATION",1,"7904 SW HUNZIKER ST, TIGARD, OR 97223",45.430559,-122.771271
"AIR LIQUIDE AMERICA",1,"10450 SW TUALATIN SHRWD RD, TUALATIN, OR 97062",45.377155,-122.783779
"ALBINA PIPE BENDING CO",1,"12080 SW MYSLONY, TUALATIN, OR 97062",45.376418,-122.801166
"ALLIANCE PACKAGING",1,"23035 NW JACOBSON DR, HILLSBORO, OR 97124",45.565329,-122.920121
"ALOHA SANITARY SERVICE",1,"8600 SW HILLSBORO HWY, HILLSBORO, OR 97123",45.457437,-122.991494
"AMMCON CORP",1,"21450 W UNION RD, HILLSBORO, OR 97124",45.519908,-123.879723
"ANTHRO CORP",1,"10630 SW MANHASSET DR, TUALATIN, OR 97062",45.379029,-122.784471
"ANTHRO CORP",1,"10450 SW MANHASSET DR, TUALATIN, OR 97062",45.379032,-122.783396
"ARCIS CORP",1,"10680 NW 289TH PL, NORTH PLAINS, OR 97133",45.668573,-123.028124
"ARDENT MILLS INNOVATIVE BAKERY RESOURCES",1,"21151 SW 115TH, TUALATIN, OR 97062",45.389777,-122.795393
"AXIOM ELECTRONICS",1,"19545 NW VON NEUMANN DR, HILLSBORO, OR 97006",45.530928,-122.878084
"BANKS CITY OF",1,"41700 BANKS RD, BANKS, OR 97106",45.621519,-123.106594
"BANKS CITY OF",1,"20105 SELLERS RD, BANKS, OR 97106",45.66543,-123.105684
"BANKS MANUFACTURING LLC",1,"13662 NW COMMERCE St, BANKS, OR 97106",45.617737,-123.111079
"BARRIER CORPORATION",1,"9908 SW TIGARD ST, TIGARD, OR 97223",45.433066,-122.77733
"BARRIER CORPORATION",1,"9814 SW TIGARD ST, TIGARD, OR 97223",45.43274,-122.776643
"BARRIER CORPORATION",1,"9820 SW TIGARD ST, TIGARD, OR 97223",45.432761,-122.776686
"BEAVER NURSERY",1,"12773 SW CAMPBELL RD, HILLSBORO, OR 97123",45.42737,-122.991358
"BEAVERTON CITY OF",1,"9600 SW ALLEN BLVD, BEAVERTON, OR 97005",45.473497,-122.776908
"BEAVERTON CITY OF",1,"14600 SW SEXTON MTN DR, BEAVERTON, OR 97005",45.460067,-122.826602
"BEAVERTON CITY OF",1,"13520 SW HANSON RD, BEAVERTON, OR 97005",45.463507,-122.815089
"BEAVERTON CITY OF",1,"3300 SW 209TH AVE, ALOHA, OR 97007",45.496395,-122.891677
"BEAVERTON CITY OF",1,"13450 SW HANSON RD ASR 4, BEAVERTON, OR 97005",45.484587,-122.809475
"BEAVERTON TOYOTA CO",1,"4355 SW 142ND, BEAVERTON, OR 97005",45.480664,-122.823301
"BEYNON SPORT SURFACES",1,"19600 SW 129TH AVE STE A, TUALATIN, OR 97062",45.377487,-122.810085
"BLASTZONE SANDBLASTING",1,"8260 SW OLD HWY 47, GASTON, OR 97119",45.460892,-123.156114
"BOB CARLSON INC",1,"560 SW MAPLE ST, HILLSBORO, OR 97123",45.515142,-122.996534
"BONITA PIONEER PACKAGING",1,"7400 SW LANDMARK LN, PORTLAND, OR 97224",45.418133,-122.750452
"BPA",1,"4123 NW RICKEY TERR, HILLSBORO, OR 97124",45.547935,-122.896352
"BRIDGEPORT DISTRIBUTION INC",1,"16520 SW 72ND AVE BLDG 7, TIGARD, OR 97224",45.404378,-122.748997
"C F PLASTICS INC",1,"2630B SE 39TH LOOP, HILLSBORO, OR 97123",45.499248,-122.944022
"CARLSON TESTING",1,"8430 SW HUNZIKER ST, TIGARD, OR 97223",45.430559,-122.771271
"CARTER 2 SYSTEMS INC",1,"2750 SE 39TH AVE, HILLSBORO, OR 97123",45.51607,-122.941847
"CASCADE MICROTECH",1,"9100 SW GEMINI, BEAVERTON, OR 97008",45.454381,-122.791153
"CASCADE SYSTEMS TECHNOLOGY INC",1,"23176 NW BENNETT ST, HILLSBORO, OR 97124",45.554689,-122.917647
"CASCADE WINDOWS",1,"10255 SW SPOKANE CT, TUALATIN, OR 97062",45.382656,-122.781927
"CATLIN GABEL SCHOOL THE",1,"8825 SW BARNES RD, PORTLAND, OR 97225",45.508691,-122.767708
"CHICK A DEE GARDENS NURSERY INC",1,"24130 SW GRAHAMS FERRY RD, SHERWOOD, OR 97140",45.346833,-122.784887
"CHINICK LANDSCAPING & NURSERY",1,"21300 NW WEST UNION RD, HILLSBORO, OR 97123",45.569649,-122.896073
"CLEAN WATER SERVICES",1,"2025 SW MERLO CT, BEAVERTON, OR 97006",45.505279,-122.847218
"CLEAN WATER SERVICES",1,"16580 SW 85TH, TIGARD, OR 97224",45.402955,-122.764512
"CLEAN WATER SERVICES",1,"3235 SW RIVER RD, HILLSBORO, OR 97123",45.496454,-122.942598
"CLEAN WATER SERVICES",1,"SUBSTN STORM PUMP STN, SUBSTATION, OR 97000",NA,NA
"COFFEE CREEK CORRECTIONAL FACILITY",1,"24499 SW GRAHAMS FERRY RD, WILSONVILLE, OR 97070",45.317319,-122.799726
"COLUMBIA CORRUGATED BOX CO INC",1,"12777 SW TUALATIN SHRWD RD, TUALATIN, OR 97062",45.369036,-122.807991
"CONTECH ENGINEERED SOLUTIONS LLC",1,"710 SW ARMCO AVE, HILLSBORO, OR 97123",45.515985,-123.000976
"COORSTEK",1,"555 NE 53RD AVE, HILLSBORO, OR 97124",45.524247,-122.928874
"COPYTRONIX",1,"16640 SW 72ND AVE, PORTLAND, OR 97224",45.404204,-122.749124
"DAVIS TOOL INC",1,"780 SW BAILEY AVE, HILLSBORO, OR 97123",45.514412,-122.992478
"DEQ",1,"3150 NW 229TH AVE STE 150, HILLSBORO, OR 97124",45.550287,-122.909876
"DMH INC",1,"3802 24TH AVE, FOREST GROVE, OR 97116",45.525085,-123.080792
"ELECTRO SCIENTIFIC INDUSTRIES",1,"13900 NW SCIENCE PARK DR, PORTLAND, OR 97229",45.526146,-122.821394
"ELECTRONIC MFG SERVICES",1,"10950 SW 5TH ST STE 180, BEAVERTON, OR 97005",45.48365,-122.788806
"ENSTROM LANDSCAPE MANAGEMENT L",1,"13300 SW GALBREATH DR, SHERWOOD, OR 97140",45.371801,-122.818216
"EPSON PORTLAND INC",1,"3950 NW ALOCLEK PL, HILLSBORO, OR 97124",45.548011,-122.890416
"FISKARS BRANDS INC",1,"14200 SW 72ND AVE, PORTLAND, OR 97224",45.405217,-122.748984
"FOREST GROVE CITY OF",1,"2551-A 23RD AVE, FOREST GROVE, OR 97116",45.523809,-123.10295
"FOREST GROVE CITY OF",1,"2300 SUNSET DR, FOREST GROVE, OR 97116",45.52429,-123.108528
"FOREST GROVE CITY OF",1,"501 WATERCREST, FOREST GROVE, OR 97116",45.533148,-123.134709
"FOREST GROVE SCHOOL DIST 15",1,"2701 TAYLOR WAY, FOREST GROVE, OR 97116",45.508769,-123.097858
"FOREST HILLS GOLF COURSE",1,"36260 SW TONGUE LN, CORNELIUS, OR 97113",45.483963,-123.047576
"FOREVER GREEN LANDSCAPES LLC",1,"16069 SW HILLSBORO HWY, HILLSBORO, OR 97123",45.403522,-122.94117
"FUJIMI CORPORATION",1,"11200 SW LEVETON DR, TUALATIN, OR 97062",45.385945,-122.793442
"FUJIMI CORPORATION",1,"9949 SW COMMERCE CIR, WILSONVILLE, OR 97070",45.335279,-122.774431
"GARRON GROUNDS MAN INC",1,"11277 SW CLAY ST STE D, SHERWOOD, OR 97140",45.344543,-122.792213
"GENENTECH INC",1,"4625 NW BROOKWOOD PKWY, HILLSBORO, OR 97124",45.548307,-122.927294
"GENERAL TREE SERVICE",1,"6795 SW 111TH AVE, BEAVERTON, OR 97008",45.470648,-122.7909
"GLACIER NORTHWEST INC",1,"19585 SW 118TH AVE, TUALATIN, OR 97062",45.377534,-122.799031
"GM NAMEPLATE",1,"13725 SW MILLIKAN WAY, BEAVERTON, OR 97005",45.489164,-122.806291
"GOLD HILL NURSERY LLC",1,"24700 SW TILE FLAT RD, HILLSBORO, OR 97123",45.443754,-122.930666
"GRABHORN INC",1,"14930 SW VANDERMOST RD, BEAVERTON, OR 97007",45.415486,-122.86757
"GRASS AUTHORITY INC THE",1,"15575 SW 74TH AVE STE 3, TIGARD, OR 97224",45.414361,-122.752584
"GREEN ART LANDSCAPING COMPANY LLC",1,"8335 NW CORNELIUS PASS RD, HILLSBORO, OR 97124",45.58003,-122.875501
"GREEN ENERGY SOLUTIONS",1,"23515 NW CLARA LN STE 150, HILLSBORO, OR 97124",45.52465,-122.919904
"GREENSCAPES LAWN TREE & PLANT",1,"8900 SW BURNHAM ST STE E105, TIGARD, OR 97223",45.430559,-122.771271
"GRIFFITH POLYMERS INC",1,"10500 SW MANHASSET DR, TUALATIN, OR 97062",45.379031,-122.783652
"GROUNDS MAINTENANCE OF OR INC",1,"23050 SW 82ND AVE, TUALATIN, OR 97062",45.354191,-122.761855
"H W METAL PRODUCTS",1,"19480 SW 118TH, TUALATIN, OR 97062",45.378502,-122.798882
"HILLSBORO CITY OF",1,"953 SE MAPLE ST, HILLSBORO, OR 97123",45.514975,-122.97494
"HILLSBORO CITY OF",1,"4475 SW FERNHILL RD, FOREST GROVE, OR 97116",45.487585,-123.093996
"HILLSBORO CITY OF",1,"142 SE MAPLE ST, HILLSBORO, OR 97123",45.514932,-122.989179
"HILLSBORO CITY OF",1,"450 NE 53RD AVE, HILLSBORO, OR 97124",45.521639,-122.928951
"HILLSBORO CITY OF",1,"CHERRY GROVE PUMP STA, GASTON, OR 97119",45.446197,-123.24345
"HILLSBORO LANDFILL-T V WASTE RECOVERY",1,"3205 SE MINTER BRIDGE RD, HILLSBORO, OR 97123",45.496898,-122.967848
"HILLSBORO SCHOOL DISTRICT 1J",1,"1220 SW WALNUT ST, HILLSBORO, OR 97123",45.517555,-123.002681
"HINES GROWERS INC",1,"45296 SW RITCHEY RD, FOREST GROVE, OR 97116",45.511116,-123.149104
"HINES GROWERS INC",1,"RT 2 DOBER RD, CORNELIUS, OR 97113",45.457653,-123.03463
"HINES GROWERS INC",1,"37710 SW NURSERY RD, CORNELIUS, OR 97113",45.476591,-123.063936
"INSERTA FITTINGS CO",1,"3707 24TH AVE, FOREST GROVE, OR 97116",45.525226,-123.082677
"INTEL CORPORATION",1,"2501 229TH AVE NW, HILLSBORO, OR 97124",45.550374,-122.909889
"INTEL CORPORATION",1,"3585 SW 198TH, ALOHA, OR 97007",45.493964,-122.881299
"INTEL CORPORATION",1,"2111 NE 25TH AVE, HILLSBORO, OR 97124",45.540177,-122.957187
"INTEL CORPORATION",1,"5200 NE ELAM YOUNG PKWY, HILLSBORO, OR 97124",45.529886,-122.93142
"INTEL CORPORATION",1,"23225 NW EVERGREEN PKWY, HILLSBORO, OR 97124",45.550993,-122.918965
"INTERNATIONAL PAPER",1,"5500 SW WESTERN AVE, BEAVERTON, OR 97005",45.480156,-122.782777
"INTERNATIONAL PAPER",1,"5800 SW WESTERN, BEAVERTON, OR 97005",45.477346,-122.782622
"INTERNATIONAL PAPER COMPANY",1,"5570 SW WESTERN AVE, BEAVERTON, OR 97005",45.477613,-122.782774
"JAE OREGON INC",1,"11555 SW LEVETON DR, TUALATIN, OR 97062",45.385905,-122.796927
"JAMES KING & CO INC",1,"19939 SW CIPOLE, SHERWOOD, OR 97041",45.842987,-122.867436
"JB INSULATION",1,"14255 SW GALBREATH DR, SHERWOOD, OR 97140",45.368657,-122.823806
"JIFFY LUBE",1,"15930 SW TUALATIN SHRWD RD, SHERWOOD, OR 97140",45.368228,-122.840298
"JIREH SEMICONDUCTOR INCORPORAT",1,"3131 NW BROOKWOOD PKWY, HILLSBORO, OR 97124",45.547239,-122.929522
"KAISER PERMANENTE",1,"19185 SW 90TH, TUALATIN, OR 97062",45.380323,-122.77062
"KINETICS DYNACAST INC",1,"10085 SW COMMERCE CIR, WILSONVILLE, OR 97070",45.33557,-122.777068
"KING CITY GOLF COURSE",1,"16060 SW KING CHARLES, PORTLAND, OR 97224",45.403046,-122.801903
"KNIFE RIVER",1,"699 SW WOOD ST, HILLSBORO, OR 97123",45.512623,-123.001253
"LANDDCARE",1,"7920 SW HUNZIKER ST, TIGARD, OR 97223",45.430559,-122.771271
"LANDGRAPHICS INC",1,"21255 SW CHERRY LN, HILLSBORO, OR 97124",45.530271,-122.896891
"LANDSCAPE UNLIMITED LLC",1,"3400 SW 209TH AVE, ALOHA, OR 97007",45.49557,-122.891625
"LEGACY MERIDIAN PARK HOSPITAL",1,"19300 SW 65TH AVE, TUALATIN, OR 97062",45.379112,-122.743917
"LEUPOLD & STEVENS INC",1,"14400 NW GREENBRIER PKWY, BEAVERTON, OR 97006",45.524738,-122.826324
"LEXUS OF PORTLAND LLC",1,"8840 SW CANYON RD, PORTLAND, OR 97225",45.49769,-122.767584
"LGINTERNATIONAL",1,"6700 SW BRADBURY CT, PORTLAND, OR 97224",45.398933,-122.743866
"LIEB FOODS LLC",1,"2550 23RD AVE, FOREST GROVE, OR 97116",45.523809,-123.10296
"MACS RADIATOR & REPAIR",1,"631 SW BASELINE, HILLSBORO, OR 97123",45.520229,-122.996179
"MAGNO HUMPHRIES INC",1,"8800 SW COMMERCIAL ST, TIGARD, OR 97223",45.430559,-122.771271
"MAXTEK COMPONENTS CORP",1,"2905 SW HOCKEN AVE, BEAVERTON, OR 97005",45.493831,-122.813658
"MCKAY CREEK GOLF COURSE INC",1,"1416 NW JACKSON ST, HILLSBORO, OR 97124",45.525263,-123.003509
"MERIWETHER NATIONAL GOLF",1,"5200 SW ROOD BRIDGE RD, HILLSBORO, OR 97123",45.481278,-122.950276
"MILGARD MFG CO",1,"20789 SW 115TH ST, TUALATIN, OR 97062",45.389777,-122.795393
"MONTINORE VINEYARDS",1,"3663 SW DILLEY RD, FOREST GROVE, OR 97116",45.493512,-123.129557
"MORGAN INDUSTRIAL INC",1,"23810 NW HUFFMAN ST, HILLSBORO, OR 97124",45.229191,-123.179569
"NEW SEASON FOODS",1,"2329 YEW ST, FOREST GROVE, OR 97116",45.524325,-123.073046
"NIKE INC",1,"ONE BOWERMAN DR, BEAVERTON, OR 97005",45.485786,-122.800314
"NORTEK AIR SOLUTIONS",1,"19855 SW 124TH AVE, TUALATIN, OR 97062",45.37668,-122.805014
"NORTHWEST CIRCUIT BOARD",1,"2900 SW CORNELIUS PASS RD STE 864, HILLSBORO, OR 97123",45.499855,-122.902057
"NORTHWEST EARTHMOVERS INC",1,"13600 SW GALBREATH DR, SHERWOOD, OR 97140",45.371801,-122.818216
"OAK HILLS HOMEOWNERS ASSOC",1,"2085 NW 153RD AVE, BEAVERTON, OR 97006",45.535055,-122.833859
"OAK KNOLL WINERY",1,"29700 SW BURKHALTER RD, HILLSBORO, OR 97123",45.463014,-122.983687
"ODOT",1,"48400 NW SUNSET HWY, BANKS, OR 97106",45.672733,-123.177433
"OHSU",1,"505 NW 185TH AVE, BEAVERTON, OR 97006",45.52347,-122.867553
"OLIGOS ETC INC",1,"9775 SW COMMERCE CIR STE C-6, WILSONVILLE, OR 97070",45.336234,-122.777127
"OREGON BERRY PACKING INC",1,"6000 SW MINTER BRIDGE RD, HILLSBORO, OR 97123",45.476752,-122.985929
"OREGON COLLEGE OF ART & CRAFT",1,"8245 SW BARNES RD, PORTLAND, OR 97225",45.510563,-122.760766
"OREGON HOLIDAY PRODUCTS LLC",1,"2331 23RD AVE, FOREST GROVE, OR 97116",45.523972,-123.106239
"OROWEAT",1,"10750 SW 5TH, BEAVERTON, OR 97005",45.483659,-122.786031
"PACIFIC FOODS OF OREGON",1,"9955 SW POTANO, TUALATIN, OR 97062",45.379361,-122.779611
"PACIFIC FOODS OF OREGON INC",1,"9735 SW TUALATIN SHRWD RD, TUALATIN, OR 97062",45.378251,-122.778446
"PACIFIC FOODS OF OREGON INC",1,"19300 SW TETON AVE, TUALATIN, OR 97062",45.382651,-122.78367
"PACIFIC FOODS OF OREGON INC",1,"19550 SW 97TH AVE, TUALATIN, OR 97062",45.419658,-122.556558
"PACIFIC FOODS OF OREGON INC",1,"9693 SW TUALATIN SHRWD RD, TUALATIN, OR 97062",45.378982,-122.774665
"PACIFIC FOODS OF OREGON INC",1,"19480 SW 97TH AVE, TUALATIN, OR 97062",45.419658,-122.556558
"PACIFIC FOODS OF OREGON INC",1,"19400 SW TETON AVE, TUALATIN, OR 97062",45.382567,-122.783485
"PACIFIC LANDSCAPE MGMT INC",1,"21555 NW AMBERWOOD DR, HILLSBORO, OR 97124",45.537797,-122.898103
"PACIFIC MODULAR INC",1,"6190 SW ARCTIC DR, BEAVERTON, OR 97005",45.481423,-122.780834
"PACIFIC MOTION LLC",1,"21249 SW 115TH AVE, TUALATIN, OR 97062",45.389777,-122.795393
"PACIFIC SPORTS TURF INC",1,"12725 SW HERMAN RD, TUALATIN, OR 97062",45.377304,-122.80796
"PACKAGING RESOURCES CO",1,"12555 SW TUALATIN SHRWD RD, TUALATIN, OR 97062",45.369357,-122.805587
