"company_name_storage","company_id_storage","company_type_storage","naics_code_storage","naics_code_description_storage","chemical_name_storage","hazardous_ingredient_storage","average_amount_storage","maximum_amount_storage","storage_method_storage","hazardous_class_description_storage","in_storage","key","address"
"PRECISION EQUIPMENT INC",8319,"MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS","HYDRAULIC OIL","BASE LUBRICATING OILS","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-0051","8440 N KERBY AVE, PORTLAND, OR 97217"
"PRECISION EQUIPMENT INC",8319,"MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS","WASTE CHROMIUM AND FLOOR DRY","CHROMIUM & SODIUM HYDROXIDE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Corrosive Material",1,"26-0051","8440 N KERBY AVE, PORTLAND, OR 97217"
"PRECISION EQUIPMENT INC",8319,"MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS","CHROMIC ACID FLAKES","CHROMIUM TRIOXIDE","500-999","500-999","CAN","Poisonous Material",1,"26-0051","8440 N KERBY AVE, PORTLAND, OR 97217"
"PRECISION EQUIPMENT INC",8319,"MACHINE SHOP & INDUSTRIAL PLATING",332710,"MACHINE SHOPS","CHROMIC ACID SOLUTION","CHROMIC ACID","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Corrosive Material",1,"26-0051","8440 N KERBY AVE, PORTLAND, OR 97217"
"WEST COAST WIRE ROPE & RI",34595,"WIRE ROPE FABRICATION & WAREHOUSING",332618,"OTHER FABRICATED WIRE PRODUCT MFG","ZINC","ZINC","1,000-4,999","1,000-4,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0067","2900 NW 29TH AVE, PORTLAND, OR 97210"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","GLENIUM 3030 NS","NONE LISTED ON MSDS","500-999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","MB AE 90","NONE LISTED ON SDS","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","POZZOLITH 200 N","TRIETHANOLAMINE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","POZZOLITH NC534","CALCIUM NITRATE, TETRAHYDRATE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","SLAG CEMENT","CALCIUM OXIDE","50,000-99,999","50,000-99,999","SILO","Acute Health Hazard",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","CEMENT","PORTLAND CEMENT","100,000-249,999","100,000-249,999","SILO","Acute Health Hazard",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","DELVO STABILIZER","PHOSPHONIC ACID ((NITRILOTRIS(METHYLENE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-1764","1208 N RIVER ST, PORTLAND, OR 97227"
"BROOKS PRODUCTS LLC",71131,"MFG PRECAST CONCRETE PRODUCTS",327999,"ALL OTHER MISC NONMTLLIC MINERAL PRODUCT M","PORTLAND CEMENT","PORTLAND CEMENT","10,000-49,999","10,000-49,999","SILO","Acute Health Hazard",1,"26-0052","10404 NE MARX ST, PORTLAND, OR 97220"
"BROOKS PRODUCTS LLC",71131,"MFG PRECAST CONCRETE PRODUCTS",327999,"ALL OTHER MISC NONMTLLIC MINERAL PRODUCT M","POZZOLITH 122E","CALCIUM CHLORIDE","200-499","500-999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-0052","10404 NE MARX ST, PORTLAND, OR 97220"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","POLYHEED 997","SODIUM NITRATE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
