"address","lat","lon","clean_address"
"8440 N KERBY AVE, PORTLAND, OR 97217",45.5843059,-122.671809,"8440 N Kerby Ave, Portland, OR 97217, USA"
"8916 NE VANCOUVER WAY, PORTLAND, OR 97211",45.5865231,-122.6619384,"8916 NE Vancouver Way, Portland, OR 97211, USA"
"2900 NW 29TH AVE, PORTLAND, OR 97210",45.5437929,-122.7098613,"2900 NW 29th Ave, Portland, OR 97210, USA"
"1208 N RIVER ST, PORTLAND, OR 97227",45.5385811,-122.6804162,"1208 N River St, Portland, OR 97227, USA"
"5949 NE CULLY BLVD, PORTLAND, OR 97218",45.5656846,-122.5921461,"5949 NE Cully Blvd, Portland, OR 97218, USA"
"4850 NW FRONT AVE, PORTLAND, OR 97240",45.5577317,-122.7281257,"4850 NW Front Ave, Portland, OR 97210, USA"
"6637 SE 100TH AVE, PORTLAND, OR 97266",45.474327,-122.5615684,"6637 SE 100th Ave, Portland, OR 97266, USA"
"12409 NE SAN RAFAEL ST, PORTLAND, OR 97230",45.5381631,-122.5362284,"12409 NE San Rafael St, Portland, OR 97230, USA"
"1339 NE EASTWOOD, GRESHAM, OR 97030",45.5057519,-122.4630777,"1339 NW Eastwood Ave, Gresham, OR 97030, USA"
"10717 SE DIVISION ST, PORTLAND, OR 97266",45.5043875,-122.5523415,"10717 SE Division St, Portland, OR 97266, USA"
"HARDTACK ISLAND - WILLAMETTE RIVER, PORTLAND, OR 972HH",45.4837299,-122.6570395,"Hardtack Island, Portland, OR 97202, USA"
"10404 NE MARX ST, PORTLAND, OR 97220",45.5611094,-122.5549402,"10404 NE Marx St, Portland, OR 97220, USA"
"1900 N INTERSTATE AVE, PORTLAND, OR 97227",45.5369208,-122.6743775,"1900 N Interstate Ave, Portland, OR 97227, USA"
"5700 NE SUNDIAL RD, TROUTDALE, OR 97060",45.563661,-122.410523,"5700 NE Sundial Rd, Troutdale, OR 97060, USA"
"755 NE COLUMBIA BLVD, PORTLAND, OR 97211",45.581685,-122.656845,"755 NE Columbia Blvd, Portland, OR 97211, USA"
"2405 NE 244TH AVE, WOOD VILLAGE, OR 97060",45.5401549,-122.4142405,"2405 NE 244th Ave, Wood Village, OR 97060, USA"
"2205 NE 244TH, TROUTDALE, OR 97060",45.5393402,-122.4128459,"2205 NE 244th Ave, Wood Village, OR 97060, USA"
"1835 N MARINE DR, PORTLAND, OR 97217",45.6081602,-122.6869629,"1835 N Marine Dr, Portland, OR 97217, USA"
"5034 NW FRONT AVE, PORTLAND, OR 97210",45.5618663,-122.7326039,"5034 NW Front Ave, Portland, OR 97210, USA"
"5225 N CHANNEL AVE, PORTLAND, OR 97217",45.5604466,-122.7137753,"5225 N Channel Ave, Portland, OR 97217, USA"
"5335 NE 109TH AVE, PORTLAND, OR 97220",45.5620262,-122.5512945,"5335 NE 109th Ave, Portland, OR 97220, USA"
"2909 NW 31ST AVE, PORTLAND, OR 97210",45.543473,-122.714013,"2909 NW 31st Ave, Portland, OR 97210, USA"
"714 NE 55TH AVE, PORTLAND, OR 97213",45.5281552,-122.6063968,"714 NE 55th Ave, Portland, OR 97213, USA"
"2155 N COLUMBIA BLVD, PORTLAND, OR 97217",45.588508,-122.68973,"2155 N Columbia Blvd, Portland, OR 97217, USA"
"3841 N COLUMBIA BLVD, PORTLAND, OR 97217",45.5920794,-122.7045943,"3841 N Columbia Blvd, Portland, OR 97217, USA"
"725 NW DUNBAR, TROUTDALE, OR 97060",45.545013,-122.4102819,"725 NW Dunbar Ave, Troutdale, OR 97060, USA"
"10300 SE MAIN ST, PORTLAND, OR 97216",45.5134006,-122.5574419,"10300 SE Main St, Portland, OR 97216, USA"
"5225 SE 26TH AVE, PORTLAND, OR 97202",45.4850244,-122.6404211,"5225 SE 26th Ave, Portland, OR 97202, USA"
"1848 NW 23RD AVE, PORTLAND, OR 97210",45.5357621,-122.6986235,"1848 NW 23rd Ave, Portland, OR 97210, USA"
"9420 NW SAINT HELENS RD, PORTLAND, OR 97231",45.590426,-122.77745,"9420 NW St Helens Rd, Portland, OR 97231, USA"
"4950 N BASIN AVE, PORTLAND, OR 97217",45.5585941,-122.6999258,"4950 N Basin Ave, Portland, OR 97217, USA"
"630 SW Mill St, PORTLAND, OR 97207",45.5124681,-122.6825233,"630 SW Mill St, Portland, OR 97201, USA"
"1225 NE 2ND AVE, PORTLAND, OR 97232",45.5320349,-122.6641624,"1225 NE 2nd Ave, Portland, OR 97232, USA"
"2801 N GANTENBEIN AVE, PORTLAND, OR 97227",45.5435105,-122.66996,"2801 N Gantenbein Ave, Portland, OR 97227, USA"
"4805 NE GLISAN ST, PORTLAND, OR 97213",45.526986,-122.6138954,"4805 NE Glisan St, Portland, OR 97213, USA"
"6040 SE BELMONT ST, PORTLAND, OR 97215",45.5164539,-122.6008441,"6040 SE Belmont St, Portland, OR 97215, USA"
"2201 LLOYD CTR, PORTLAND, OR 97232",45.5328454,-122.6531869,"2201 Lloyd Center, Portland, OR 97232, USA"
"1500 SE 130TH AVE, PORTLAND, OR 97233",45.5125873,-122.5284636,"1500 SE 130th Ave, Portland, OR 97233, USA"
"1441 N COLUMBIA BLVD, PORTLAND, OR 97217",45.5855954,-122.6811362,"1441 N Columbia Blvd, Portland, OR 97217, USA"
"546 NE 12TH AVE, PORTLAND, OR 97232",45.5273088,-122.6522285,"546 NE 12th Ave, Portland, OR 97232, USA"
"0615 SW PALATINE HILL RD, PORTLAND, OR 97219",45.4450807,-122.671706,"0615 SW Palatine Hill Rd, Portland, OR 97219, USA"
"3203 SE WOODSTOCK BLVD, PORTLAND, OR 97202",45.4793039,-122.6293406,"3203 SE Woodstock Blvd, Portland, OR 97202, USA"
"1015 NW 22ND AVE, PORTLAND, OR 97210",45.5300915,-122.6975884,"1015 NW 22nd Ave, Portland, OR 97210, USA"
"12000 SW 49TH AVE, PORTLAND, OR 97219",45.4384359,-122.7310045,"12000 SW 49th Ave, Portland, OR 97219, USA"
"2720 SE 6TH AVE, PORTLAND, OR 97202",45.5031728,-122.6591474,"2720 SE 6th Ave, Portland, OR 97202, USA"
"3181 SW SAM JACKSON PARK RD, PORTLAND, OR 97239",45.4997894,-122.6875027,"3181 SW Sam Jackson Park Rd, Portland, OR 97239, USA"
