"company_name","address","key","in_deq","in_storage","in_deq_cao","in_rail_air"
"E Rail Yard","Unknown","Rail_Yard_E",0,0,0,1
"CASTLE Rail Yard","Unknown","Rail_Yard_CASTLE",0,0,0,1
"KLAMATH Rail Yard","Unknown","Rail_Yard_KLAMATH",0,0,0,1
"TRIVELPIECE Airport","Unknown","Airport_TRIVELPIECE",0,0,0,1
"NEWBERG COMMUNITY HOSPITAL Airport","Unknown","Airport_NEWBERG_COMMUNITY_HOSPITAL",0,0,0,1
"KINZUA Airport","Unknown","Airport_KINZUA",0,0,0,1
"SHANIKO RANCH Airport","Unknown","Airport_SHANIKO_RANCH",0,0,0,1
"SHANIKO CATTLE Airport","Unknown","Airport_SHANIKO_CATTLE",0,0,0,1
"SMITH MOUNTAIN RANCH Airport","Unknown","Airport_SMITH_MOUNTAIN_RANCH",0,0,0,1
"MINAM LODGE Airport","Unknown","Airport_MINAM_LODGE",0,0,0,1
"POWWATKA RIDGE Airport","Unknown","Airport_POWWATKA_RIDGE",0,0,0,1
"VEY SHEEP RANCH Airport","Unknown","Airport_VEY_SHEEP_RANCH",0,0,0,1
"CABLE CREEK RANCH Airport","Unknown","Airport_CABLE_CREEK_RANCH",0,0,0,1
"FAUST FLD Airport","Unknown","Airport_FAUST_FLD",0,0,0,1
"ROME SERVICE AIRPORT Airport","Unknown","Airport_ROME_SERVICE_AIRPORT",0,0,0,1
"INSPIRATION Airport","Unknown","Airport_INSPIRATION",0,0,0,1
"FARR Airport","Unknown","Airport_FARR",0,0,0,1
"B BAR RANCH Airport","Unknown","Airport_B_BAR_RANCH",0,0,0,1
"HANEL FIELD Airport","Unknown","Airport_HANEL_FIELD",0,0,0,1
"WHITEHORSE RANCH Airport","Unknown","Airport_WHITEHORSE_RANCH",0,0,0,1
"EL RANCHO Airport","Unknown","Airport_EL_RANCHO",0,0,0,1
"LONGVIEW RANCH Airport","Unknown","Airport_LONGVIEW_RANCH",0,0,0,1
"INSHALLAH INTL Airport","Unknown","Airport_INSHALLAH_INTL",0,0,0,1
"RIVERVIEW RANCH Airport","Unknown","Airport_RIVERVIEW_RANCH",0,0,0,1
"D M STEVENSON RANCH Airport","Unknown","Airport_D_M_STEVENSON_RANCH",0,0,0,1
"KENNEL AIRSTRIP Airport","Unknown","Airport_KENNEL_AIRSTRIP",0,0,0,1
