"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-2557","Total - All Pollutants","641.197","186.556","454.641","NA"
"26-2557","Acetaldehyde","107.151","102.969","4.182","FALSE"
"26-2557","Methanol","89.356","78.539","10.817","FALSE"
"26-2557","Phosphorus","80.537","0.000","80.537","FALSE"
"26-2557","Total - Heavy Metals Only","76.473","0.000","76.473","TRUE"
"26-2557","Barium","71.375","0.000","71.375","FALSE"
"26-2557","Hydrochloric acid","64.430","0.000","64.430","FALSE"
"26-2557","Isopropyl alcohol","53.790","0.000","53.790","FALSE"
"26-2557","Manganese","40.786","0.000","40.786","TRUE"
"26-2557","Zinc","19.063","0.000","19.063","TRUE"
"26-2557","Chlorine","18.029","0.000","18.029","FALSE"
"26-2557","Formaldehyde","17.698","2.625","15.073","FALSE"
"26-2557","Benzene","14.482","0.000","14.482","FALSE"
"26-2557","Silver","13.847","0.000","13.847","TRUE"
"26-2557","Methylene chloride","8.083","0.000","8.083","FALSE"
"26-2557","Styrene","7.049","0.000","7.049","FALSE"
"26-2557","Ethyl benzene","5.837","0.000","5.837","FALSE"
"26-2557","Acrolein","5.255","1.413","3.842","FALSE"
"26-2557","Propionaldehyde","4.733","1.010","3.724","FALSE"
"26-2557","Hexane","4.256","0.000","4.256","FALSE"
"26-2557","Hydrogen fluoride","3.473","0.000","3.473","FALSE"
"26-2557","Phenol","2.364","0.000","2.364","FALSE"
"26-2557","Copper and compounds","1.640","0.000","1.640","TRUE"
"26-2557","Naphthalene","1.472","0.000","1.472","FALSE"
"26-2557","Methyl chloroform","0.854","0.000","0.854","FALSE"
"26-2557","Crotonaldehyde","0.664","0.000","0.664","FALSE"
"26-2557","Methyl chloride","0.559","0.000","0.559","FALSE"
"26-2557","Dibutyl phthalate","0.492","0.000","0.492","FALSE"
"26-2557","Lead","0.460","0.000","0.460","TRUE"
"26-2557","Diethylphthalate","0.322","0.000","0.322","FALSE"
"26-2557","Toluene","0.312","0.000","0.312","FALSE"
"26-2557","Carbon tetrachloride","0.297","0.000","0.297","FALSE"
"26-2557","Chloroform","0.297","0.000","0.297","FALSE"
"26-2557","1,2-Dichloropropane","0.248","0.000","0.248","FALSE"
"26-2557","Chlorobenzene","0.245","0.000","0.245","FALSE"
"26-2557","Methyl ethyl ketone","0.231","0.000","0.231","FALSE"
"26-2557","Nickel","0.195","0.000","0.195","TRUE"
"26-2557","Methyl bromide","0.168","0.000","0.168","FALSE"
"26-2557","o-Xylene","0.167","0.000","0.167","FALSE"
"26-2557","Arsenic","0.106","0.000","0.106","TRUE"
"26-2557","Chromium VI","0.103","0.000","0.103","TRUE"
"26-2557","Phenanthrene","0.095","0.000","0.095","FALSE"
"26-2557","Cadmium","0.074","0.000","0.074","TRUE"
"26-2557","Acenaphthylene","0.069","0.000","0.069","FALSE"
"26-2557","Pyrene","0.052","0.000","0.052","FALSE"
"26-2557","Selenium","0.048","0.000","0.048","TRUE"
"26-2557","Molybdenum trioxide","0.046","0.000","0.046","TRUE"
"26-2557","Antimony","0.046","0.000","0.046","TRUE"
"26-2557","Fluorene","0.044","0.000","0.044","FALSE"
"26-2557","Benzo[a]pyrene","0.040","0.000","0.040","FALSE"
"26-2557","Anthracene","0.040","0.000","0.040","FALSE"
"26-2557","Acetophenone","0.027","0.000","0.027","FALSE"
"26-2557","Mercury","0.026","0.000","0.026","TRUE"
"26-2557","m-Xylene","0.026","0.000","0.026","FALSE"
"26-2557","p-Xylene","0.026","0.000","0.026","FALSE"
"26-2557","Cobalt","0.025","0.000","0.025","TRUE"
"26-2557","Fluoranthene","0.025","0.000","0.025","FALSE"
"26-2557","2-Methyl naphthalene","0.021","0.000","0.021","FALSE"
"26-2557","Acenaphthene","0.013","0.000","0.013","FALSE"
"26-2557","Vanadium (fume or dust)","0.009","0.000","0.009","TRUE"
"26-2557","Benzo[e]pyrene","0.003","0.000","0.003","FALSE"
"26-2557","Benzo[j]fluoranthene","0.002","0.000","0.002","FALSE"
"26-2557","Benzo[g,h,i]perylene","0.002","0.000","0.002","FALSE"
"26-2557","Benzo[b]fluoranthene","0.002","0.000","0.002","FALSE"
"26-2557","Beryllium","0.002","0.000","0.002","FALSE"
"26-2557","Indeno[1,2,3-cd]pyrene","0.002","0.000","0.002","FALSE"
"26-2557","Benz[a]anthracene","0.001","0.000","0.001","FALSE"
"26-2557","Chrysene","0.001","0.000","0.001","FALSE"
"26-2557","Benzo[k]fluoranthene","0.001","0.000","0.001","FALSE"
"26-2557","Perylene","0.000","0.000","0.000","FALSE"
"26-2557","Dibenz[a,h]anthracene","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-2557","2,3,7,8-Tetrachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,6,7,8-Heptachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","2,3,4,7,8-Pentachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,6,7,8,9-Octachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,7,8-Pentachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,7,8-Hexachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,6,7,8-Hexachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","2,3,4,6,7,8-Hexachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,7,8-Pentachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,7,8,9-Heptachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-2557","1,2,3,7,8,9-Hexachlorodibenzofuran","0.000","0.000","0.000","FALSE"
"26-2557","2,3,7,8-Tetrachlorodibenzo-p-dioxin","0.000","0.000","0.000","FALSE"
"26-0243","Total - All Pollutants","18.491","18.491","0.000","NA"
"26-0243","Diesel Particulate Matter","16.220","16.220","0.000","FALSE"
"26-0243","Formaldehyde","0.836","0.836","0.000","FALSE"
"26-0243","Ammonia","0.387","0.387","0.000","FALSE"
"26-0243","Acetaldehyde","0.379","0.379","0.000","FALSE"
"26-0243","Propylene","0.226","0.226","0.000","FALSE"
"26-0243","1,3-Butadiene","0.105","0.105","0.000","FALSE"
"26-0243","Hydrochloric acid","0.090","0.090","0.000","FALSE"
"26-0243","Benzene","0.090","0.090","0.000","FALSE"
"26-0243","Toluene","0.051","0.051","0.000","FALSE"
"26-0243","Total - Heavy Metals Only","0.024","0.024","0.000","TRUE"
"26-0243","Xylenes (mixed) including:","0.021","0.021","0.000","FALSE"
"26-0243","Benzo[a]pyrene","0.018","0.018","0.000","FALSE"
"26-0243","Acrolein","0.016","0.016","0.000","FALSE"
"26-0243","Hexane","0.013","0.013","0.000","FALSE"
"26-0243","Zinc","0.011","0.011","0.000","TRUE"
"26-0243","Naphthalene","0.010","0.010","0.000","FALSE"
"26-0243","Ethyl benzene","0.005","0.005","0.000","FALSE"
"26-0243","Lead","0.004","0.004","0.000","TRUE"
"26-0243","Copper and compounds","0.002","0.002","0.000","TRUE"
"26-0243","Nickel","0.002","0.002","0.000","TRUE"
"26-0243","Manganese","0.002","0.002","0.000","TRUE"
"26-0243","Selenium","0.001","0.001","0.000","TRUE"
"26-0243","Mercury","0.001","0.001","0.000","TRUE"
"26-0243","Arsenic","0.001","0.001","0.000","TRUE"
"26-0243","Cadmium","0.001","0.001","0.000","TRUE"
"26-0243","Chlorobenzene","0.000","0.000","0.000","FALSE"
"26-0243","Chromium VI","0.000","0.000","0.000","TRUE"
"26-0171","Total - All Pollutants","99.473","99.473","0.000","NA"
"26-0171","Total - Heavy Metals Only","98.692","98.692","0.000","TRUE"
"26-0171","Zinc","95.638","95.638","0.000","TRUE"
"26-0171","Nickel","2.659","2.659","0.000","TRUE"
"26-0171","Hydrogen Cyanide","0.782","0.782","0.000","FALSE"
"26-0171","Cadmium","0.363","0.363","0.000","TRUE"
"26-0171","Copper and compounds","0.032","0.032","0.000","TRUE"
"26-1865","Total - All Pollutants","7,845.567","7,826.553","19.015","NA"
"26-1865","Ammonia","4,833.280","4,833.280","0.000","FALSE"
"26-1865","Hexane","2,718.720","2,718.720","0.000","FALSE"
"26-1865","Formaldehyde","113.503","113.280","0.223","FALSE"
