"Facility Type","Site Name","Address","City","lat","lon","key","url","in_airport"
"Airport","Portland Intl Airport","Unknown","Portland",45.5916,-122.6142,"Airport_Portland_Intl","www.portlandcleanair.org/files/detailed_co_info/Airport_Portland_Intl",1
"Airport","Portland-Hillsboro Airport","Unknown","Portland",45.54039,-122.94983,"Airport_Portland-Hillsboro","www.portlandcleanair.org/files/detailed_co_info/Airport_Portland-Hillsboro",1
"Airport","Bend Muni Airport","Unknown","Bend",44.09483,-121.20064,"Airport_Bend_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Bend_Muni",1
"Airport","Aurora State Airport","Unknown","Aurora",45.24714,-122.77006,"Airport_Aurora_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Aurora_State",1
"Airport","Portland-Troutdale Airport","Unknown","Portland",45.54937,-122.40125,"Airport_Portland-Troutdale","www.portlandcleanair.org/files/detailed_co_info/Airport_Portland-Troutdale",1
"Airport","Mahlon Sweet Field Airport","Unknown","Eugene",44.1342,-123.2119,"Airport_Mahlon_Sweet_Field","www.portlandcleanair.org/files/detailed_co_info/Airport_Mahlon_Sweet_Field",1
"Airport","Scappoose Industrial Ai Airport","Unknown","Scappoose",45.7725,-122.86236,"Airport_Scappoose_Industrial_Ai","www.portlandcleanair.org/files/detailed_co_info/Airport_Scappoose_Industrial_Ai",1
"Airport","Klamath Falls Airport","Unknown","Klamath Falls",42.1624,-121.7426,"Airport_Klamath_Falls","www.portlandcleanair.org/files/detailed_co_info/Airport_Klamath_Falls",1
"Airport","Mc Minnville Muni Airport","Unknown","Mc Minnville",45.19444,-123.13594,"Airport_Mc_Minnville_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Mc_Minnville_Muni",1
"Airport","Rogue Valley Internatio Airport","Unknown","Medford",42.3796,-122.8802,"Airport_Rogue_Valley_Internatio","www.portlandcleanair.org/files/detailed_co_info/Airport_Rogue_Valley_Internatio",1
"Airport","Corvallis Muni Airport","Unknown","Corvallis",44.49719,-123.28983,"Airport_Corvallis_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Corvallis_Muni",1
"Airport","Astoria Regional Airport","Unknown","Astoria",46.15797,-123.87869,"Airport_Astoria_Regional","www.portlandcleanair.org/files/detailed_co_info/Airport_Astoria_Regional",1
"Airport","Roberts Field Airport","Unknown","Redmond",44.25407,-121.14996,"Airport_Roberts_Field","www.portlandcleanair.org/files/detailed_co_info/Airport_Roberts_Field",1
"Airport","Hobby Field Airport","Unknown","Creswell",43.93207,-123.00675,"Airport_Hobby_Field","www.portlandcleanair.org/files/detailed_co_info/Airport_Hobby_Field",1
"Airport","Mcnary Fld Airport","Unknown","Salem",44.90953,-123.0025,"Airport_Mcnary_Fld","www.portlandcleanair.org/files/detailed_co_info/Airport_Mcnary_Fld",1
"Airport","Independence State Airport","Unknown","Independence",44.86676,-123.19825,"Airport_Independence_State","www.portlandcleanair.org/files/detailed_co_info/Airport_Independence_State",1
"Airport","Roseburg Regional Airport","Unknown","Roseburg",43.23878,-123.35586,"Airport_Roseburg_Regional","www.portlandcleanair.org/files/detailed_co_info/Airport_Roseburg_Regional",1
"Airport","Newport Muni Airport","Unknown","Newport",44.58036,-124.05792,"Airport_Newport_Muni","www.portlandcleanair.org/files/detailed_co_info/Airport_Newport_Muni",1
"Airport","Ashland Muni-Sumner Par Airport","Unknown","Ashland",42.19028,-122.66063,"Airport_Ashland_Muni-Sumner_Par","www.portlandcleanair.org/files/detailed_co_info/Airport_Ashland_Muni-Sumner_Par",1
