"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","Has Uncontrolled Emissions","DEQ General Permit Type","DEQ General Permit Type Description","Three County Emissions Rank","Three County Heavy Metal Emissions Rank"
"West Coast Wire Rope & Rigging, Inc. ","2900 NW 29th Ave, Portland, OR 97210, USA","www.portlandcleanair.org/files/detailed_co_info/26-0067","Yes","Yes","No",5,"Other",NA,NA
"K F Jacobsen & Co., Inc. ","1208 N River St, Portland, OR 97227, USA","www.portlandcleanair.org/files/detailed_co_info/26-1764","Yes","Yes","No",7," Asphalt Plants",NA,NA
"Porter W. Yett Company ","5949 NE Cully Blvd, Portland, OR 97218, USA","www.portlandcleanair.org/files/detailed_co_info/26-1767","Yes","No","No",7," Asphalt Plants",NA,NA
"Lakeside Industries Front Avenue Fac.","4850 NW Front Ave, Portland, OR 97210, USA","www.portlandcleanair.org/files/detailed_co_info/26-3242","Yes","Yes","No",7," Asphalt Plants",NA,NA
"Lakeside Industries, Inc. 100th Ave-Foster  Road Asphalt Plant","6637 SE 100th Ave, Portland, OR 97266, USA","www.portlandcleanair.org/files/detailed_co_info/26-3305","Yes","No","No",7," Asphalt Plants",NA,NA
"Environmentally Conscious Recycling, Inc ","12409 NE San Rafael St, Portland, OR 97230, USA","www.portlandcleanair.org/files/detailed_co_info/26-0086","Yes","Yes","No",8," Rock Crushers",NA,NA
"Lakeside Industries Front Avenue","4850 NW Front Ave, Portland, OR 97210, USA","www.portlandcleanair.org/files/detailed_co_info/26-0109","Yes","Yes","No",8," Rock Crushers",NA,NA
"Porter W. Yett Company ","5949 NE Cully Blvd, Portland, OR 97218, USA","www.portlandcleanair.org/files/detailed_co_info/26-0110","Yes","No","No",8," Rock Crushers",NA,NA
"Morse Bros., Inc. dba Knife River Knife River Gresham Crusher","1339 NW Eastwood Ave, Gresham, OR 97030, USA","www.portlandcleanair.org/files/detailed_co_info/26-0129","Yes","Yes","No",8," Rock Crushers",NA,NA
"Portland Sand & Gravel Company ","10717 SE Division St, Portland, OR 97266, USA","www.portlandcleanair.org/files/detailed_co_info/26-1917","Yes","No","No",8," Rock Crushers",NA,NA
