"Facility Type","Site Name","City","Pollutant Code","Pollutant Description","Total Emissions (lbs)","key"
"Airport","Portland Intl Airport","Portland","CO","Carbon Monoxide","3,251,665.84","Airport_Portland_Intl"
"Airport","Portland Intl Airport","Portland","NOX","Nitrogen Oxides","2,285,746.12","Airport_Portland_Intl"
"Airport","Portland-Hillsboro Airport","Portland","CO","Carbon Monoxide","1,254,494.21","Airport_Portland-Hillsboro"
"Airport","Bend Muni Airport","Bend","CO","Carbon Monoxide","621,550.67","Airport_Bend_Muni"
"Airport","Aurora State Airport","Aurora","CO","Carbon Monoxide","587,503.34","Airport_Aurora_State"
"Airport","Portland-Troutdale Airport","Portland","CO","Carbon Monoxide","569,756.15","Airport_Portland-Troutdale"
"Airport","Portland Intl Airport","Portland","VOC","Volatile Organic Compounds","527,607.78","Airport_Portland_Intl"
"Airport","Mahlon Sweet Field Airport","Eugene","CO","Carbon Monoxide","499,536.70","Airport_Mahlon_Sweet_Field"
"Airport","Scappoose Industrial Ai Airport","Scappoose","CO","Carbon Monoxide","434,293.64","Airport_Scappoose_Industrial_Ai"
"Airport","Klamath Falls Airport","Klamath Falls","CO","Carbon Monoxide","405,822.92","Airport_Klamath_Falls"
"Airport","Mc Minnville Muni Airport","Mc Minnville","CO","Carbon Monoxide","376,023.92","Airport_Mc_Minnville_Muni"
"Airport","Rogue Valley Internatio Airport","Medford","CO","Carbon Monoxide","335,063.18","Airport_Rogue_Valley_Internatio"
"Airport","Corvallis Muni Airport","Corvallis","CO","Carbon Monoxide","327,409.57","Airport_Corvallis_Muni"
"Airport","Astoria Regional Airport","Astoria","CO","Carbon Monoxide","321,526.78","Airport_Astoria_Regional"
"Airport","Roberts Field Airport","Redmond","CO","Carbon Monoxide","313,583.94","Airport_Roberts_Field"
"Rail Yard","BAKER Rail Yard","Unknown","NOX","Nitrogen Oxides","309,952.00","Rail_Yard_BAKER"
"Airport","Portland Intl Airport","Portland","SO2","Sulfur Dioxide","249,081.07","Airport_Portland_Intl"
"Airport","Klamath Falls Airport","Klamath Falls","NOX","Nitrogen Oxides","227,008.11","Airport_Klamath_Falls"
