OBJID,Source_Number,Source_Name,Site_Address,City,Operating_Status,Assigned_Inspector,Contact_Name,Phone_Number,SIC_Codes,NAICS_Codes,Permit_Number,Last_Inspection,Last_Inspector,Permit_Type
1,03-0001,"American Metal Specialties, Inc. ",5226 SE INTERNATIONAL WAY,"MILWAUKIE, OR 97222-4604",Active,Tina Leppaluoto,Chris Hayter,(503) 352-1861,3479,325510,03-0001-BS-01,3/5/2015,Tina Leppaluoto,BS
2,03-0002,"Oldcastle Precast, Inc. Utility Vault Company, Inc.",28499 SW Boberg Rd,"WILSONVILLE, OR 97070-0323",Active,Daniel Murphy,Tyler Stein,503-682-2844,3271,327331,03-0002-09-01,,,G
3,03-0003,"S.R. Smith, LLC ",1017 SW BERG PKWY,"CANBY, OR 97013",Active,David Kauth,Don Jeskey,(503) 266-0217,3089,326199,03-0003-TV-01,8/4/2015,David Kauth,TV
4,03-0004,"Fred Meyer, Inc. Clackamas Bakery",16253 SE 122ND AVE,"CLACKAMAS, OR 97015-9136",Active,Gregg Dahmen,Tim Markworth,503-557-2506,"2051, 2095","311812, 311920",03-0004-ST-01,,,ST
5,03-0007,"Glacier Northwest, Inc. Clackamas Readymix",11340 SE JENNIFER ST,"CLACKAMAS, OR 97015",Active,Daniel Murphy,Mike Fields,503-650-2837,3273,327320,03-0007-09-01,,,G
6,03-0009,"Atlas Industrial Coating, Inc. A.I.C. Inc.",17555 SW 63RD AVE,"LAKE OSWEGO, OR 97035-5209",Active,Tina Leppaluoto,Cody McDonnell,(503) 635-3609,7690,811310,03-0009-SI-01,2/12/2015,Tina Leppaluoto,SI
7,03-0010,Clackamas County Water Environment Services Kellogg Creek,11525 SE MCLOUGHLIN BLVD,"MILWAUKIE, OR 97222",Active,Louis Bivins,Doug Rumpel,(503) 794-8050,"4952, 4961","221320, 221330",03-0010-SI-01,,,SI
8,03-0011,Clackamas County Tri-City Service District,15941 AGNES AVE,"OREGON CITY, OR 97045-1003",Active,Louis Bivins,Michael Trent,503-557-2804,4952,221320,03-0011-SI-01,,,SI
9,03-0013,"Hardchrome, Inc. ",1152 NW COMMERCE CT,"Estacada, OR 97023",Active,Tina Leppaluoto,Roger Evans,(503) 630-4333,3471,332813,"03-0013-01-01, 03-0013-26-01",3/19/2015,Tina Leppaluoto,G
10,03-0016,"Wolf Steel Foundry, Inc. ",6160 S WHISKEY HILL RD,"HUBBARD, OR 97032-9408",Active,Louis Bivins,Neil McNew,503-651-3400,3325,331513,03-0016-SI-01,3/26/2015,Louis Bivins,SI
11,03-0017,"Shaw's Fiberglass and Plastics, Inc. ",19402 SE FOSTER ROAD,"DAMASCUS, OR 97089",Active,David Kauth,Christopher Shaw,(503) 658-7429,3089,326199,03-0017-TV-01,8/27/2015,David Kauth,TV
12,03-0020,"PCC Structurals, Inc. Deer Creek Campus",13350 SE JOHNSON RD,"MILWAUKIE, OR 97222-1289",Active,Gregory Grunow,Sherry Uchytil,(503) 777-7683,"3297, 3324, 3269","327120, 331512",03-0020-ST-01,4/2/2015,Gregory Grunow,ST
13,03-0023,Bowers Forest Products Corporation ,17770 S SCHMIDT RD,"BEAVER CREEK, OR 97004",Active,Daniel Defehr,Justin McGeehee,971 263 4316,2421,321113,03-0023-10-01,,,G
14,03-0027,Technical Finishes & Coatings Inc. ,9120 SE 64TH AVE,"PORTLAND, OR 97206-9506",Active,Tina Leppaluoto,Martha Johnson,(503) 7710969,3471,332813,03-0027-26-01,6/26/2015,Tina Leppaluoto,G
15,03-0030,"Dravon Medical, Inc. ",11465 SE HWY 212,"CLACKAMAS, OR 97015",Active,Gregg Dahmen,Richard Parker,503-656-6600,3841,339112,03-0030-SI-01,9/24/2014,Johnny Baumgartner,SI
16,03-0034,"Glacier Northwest, Inc Estacada Readymix",29400 SE RIVER MILL ROAD,"ESTACADA, OR 97023",Active,Daniel Defehr,Mike Fields,503-650-2837,3273,327320,03-0034-09-01,,,G
17,03-0035,"Excel Finishing, Inc. ",1765 RED SOILS COURT,"OREGON CITY, OR 97045",Active,Gregg Dahmen,Joe Robinson,(503) 655-1880,3479,332812,03-0035-SI-01,5/22/2015,Louis Bivins,SI
18,03-0037,J and D Fertilizer Ltd. ,9205 S KRAXBERGER RD,"CANBY, OR 97013-9317",Active,Gregg Dahmen,Shane Stutzman,(503) 266-4610,2873,325311,03-0037-SI-01,9/24/2014,Johnny Baumgartner,SI
19,03-0040,North Clackamas County Water Commission Sunrise Water Auth.Filt.P,14275 S. CLACKAMAS RIVER DRIVE,"OREGON CITY, OR 97045",Active,Louis Bivins,Dave Davis,503-723-3505,4911,"221112, 221310",03-0040-18-01,,,G
20,03-0041,"McClure Industries, Inc. ",9051 SE 55TH AVE,"PORTLAND, OR 97206-0605",Active,Louis Bivins,Richard Michael,(503) 777-2821,3089,325211,03-0041-SI-01,4/10/2015,Louis Bivins,SI
21,03-0043,Sunrise Water Facility Mather Road site,10560 SE Mather Rd,"Clackamas, OR 97015-8243",Active,Louis Bivins,Tim Jannsen,(503) 761-0220,4911,221112,03-0043-18-01,,,G
22,03-0045,"Thermo Fluids, Inc. Clackamas Site",12533 SE CARPENTER DR,"CLACKAMAS, OR 97015-8988",Active,Tina Leppaluoto,Johnny Smith,503-788-4616,"2992, 5093","324191, 423930",03-0045-ST-02,,,ST
23,03-0048,Kaiser Permanente Kaiser Sunnyside Med.Ctr.,10180 SE SUNNYSIDE RD,"CLACKAMAS, OR 97015",Active,Louis Bivins,Jim DeLong,(503) 571-4944,"4911, 8062","221112, 622110",03-0048-18-01,,,G
24,03-0050,Xerox Corporation ,27063 SW Canyon Creek Rd,"WILSONVILLE, OR 97070-9246",Active,Louis Bivins,Ashley Threlfall,(503) 685-2123,"4911, 3861, 2893","221112, 333315, 325910","03-0050-18-01, 03-0050-30-01",,,G
25,03-0051,Kaiser Permanente Sunnyside Medical Center,10180 SE SUNNYSIDE RD,"CLACKAMAS, OR 97015-8970",Active,Daniel Murphy,Jim DeLong,(503) 571-4944,4961,221330,03-0051-BS-01,,,BS
26,03-0052,"Pesznecker Brothers, Inc. ",15500 SE 102ND AVE,"CLACKAMAS, OR 97015-9151",Active,Gregg Dahmen,Tim McPhee,503-522-0146,3499,332999,03-0052-25-01,6/20/2014,Johnny Baumgartner,G
27,03-0053,Automotive Innovation Inc MAACO Collision Repair,15679 SE 135th Ave,"Clackamas, OR 97015",Active,Daniel Murphy,William Prentice,503-656-2320,7532,811121,03-0053-27-01,,,G
28,03-0054,"Leader Technologies, Inc. LeadTek",27555 SW BOONES FERRY RD,"WILSONVILLE, OR 97071",Active,Tina Leppaluoto,Mehdi Shafiee,503.682.4410,3471,332813,03-0054-26-01,,,G
29,03-0057,"AGC Heat Transfer, Inc. Western Factory",9109 SE 64TH AVE,"PORTLAND, OR 97206-9505",Active,Gregg Dahmen,George Tholl,(503) 774-7342,3499,332999,03-0057-25-01,,,G
30,03-0060,"Oregon Pacific Metal Fabrication, LLC ",14351 S UNION HALL RD,"MULINO, OR 97042-9619",Active,Gregg Dahmen,William Comm,(503) 632-5253,3441,332312,03-0060-29-01,6/24/2015,Johnny Baumgartner,G
31,03-0061,"Sunstone Circuits, LLC Sunstone Circuits, LLC",13626 S FREEMAN RD,"MULINO, OR 97042",Active,Tina Leppaluoto,Edward Graham,503-759-2182,3672,334412,03-0061-26-01,,,G
