"","company_source_no","company_name","address","total_unfiltered_emissions","total_unfiltered_emissions_heavy_metals_only"
"1","21-0005","Georgia - Pacific Toledo LLC","1400 SE Butler Bridge Rd, Toledo, 97391",1693883.22157528,1295.88943440505
"2","04-0004","Georgia-Pacific Consumer Products LP","92326 Taylorville Road, Clatskanie, 97016",674919.583332532,1378.71366551906
"3","24-0136","City of Salem - Willow Lake WPCF","5915 Windsor Island Road Noarth, Salem, 97303",260071.967241897,0.18400418082
"4","18-0013","Collins Products, LLC","6410 Highway 66, Klamath Falls,, 97601",223672.184735659,6.00669034762247
"5","22-3501","Cascade Pacific Pulp, LLC","30480 American Drive, Halsey, 97348",204674.714373735,17.4232944
"6","18-0003","Klamath Energy, LLC","4940 Hwy 97 S, Klamath Falls, 97601",189411.079552688,6.208681572
"7","17-0046","MasterBrand Cabinets Grants Pass Operations","550 SE Mill Street, Grants Pass , 97526",170158.551791,0.19674
"8","10-0025","Roseburg Forest Products Dillard Complex","10599 Old Highway 99 South, Dillard, 97432",163636.007972922,3.77783231983877
"9","05-2520","Beaver, Port Westward 1, Port Westward 2","80997 and 81566 Kallunki Road, Clatskanie, 97016",130496.284314701,3.53644158236
"10","25-0031","Coyote Springs Plant","200 Ullman Blvd., Boardman, 97818",93569.51606086,8.7667344
"11","25-0016","Boardman and Carty Generating Stations","Tower Road, Boardman, 97818",87026.6926760539,191.53115701
"12","10-0078","Roseburg Forest Products Riddle Plywood","3064 Cow Creek Road, Riddle, 97469",79283.8292543232,2.000294928
"13","06-0010","Roseburg Forest Products Coquille Plywood","Cedar Point Road, Coquille, 97423",71081.322381014,0.20736396
"14","22-0143","Flakeboard America Limited, Duraflake","2550 Old Salem Road NE, Albany, 97321",60061.9609301275,8.88020234522662
"15","15-0004","Boise Cascade - Medford Plywood","3285 N. Pacific Hwy, Medford, OR, 97501",53421.8245073584,205.212808287491
"16","10-0012","Douglas County Inc., DBA Douglas County Forest Products","398 Del Rio Rd., Rosebur, 97471",52041.8951827302,206.116156436108
"17","31-0002","Boise Cascade Wood Products, L.L.C., Particleboard","62621 HWY 82, Island City, OR, 97850",51404.2176706988,1.48975253668908
"18","15-0025","Timber Products Co. Limited Partnership","25 E. McAndrews Road, Medford, 97501",44387.0113102782,5.374976148
"19","26-3009","Arclin Portland Division","2301 N Columbia Boulevard, Portland, 97217",44086.102980849,10.23520176
"20","05-2085","Armstrong World Industries","1645 Railroad Avenue, St. Helens, 97051",43742.2885226383,NA
"21","22-6034","Georgia-Pacific Consumer Products LP - Halsey Mill","30470 American drive, Halsey, 97348",40942.3609354491,11.9933179220673
"22","17-0030","TP Grants Pass, LLC","1090 SE M Street, Grants Pass, 97526",38340.906979224,21.36611886
"23","10-0013","Roseburg Forest Products Riddle Engineered Wood","4500 Riddle Bypass Road, Riddle, 97469",36692.1170808353,11.8203083964
"24","26-2968","Mondelez Global LLC","100 NE Columbia Blvd, Portland, 97211-1416",35688.67182385,7.3604406
"25","29-0007","Hampton Lumber Mills, Inc. dba Tillamook Lumber Company","3111 East 3rd Street, Tillamook, 97141",31951.3710123,0.028413
"26","08-0003","Pacific Wood Laminates, Inc.","P.O. Box 820, Brookings, Oregon, 97415",31355.5836993264,361.272475650232
"27","15-0012","Murphy Veneer","7975 11th Street, White City, 97503",29521.0659000604,4.579541366592
"28","04-0041","Hampton Lumber Mills, Inc.","550 Skipanon Drive, Warrenton, 97146",27702.0499,NA
"29","31-0006","Boise Cascade Wood Products, L.L.C., Elgin Complex","90 South 21st Street, Elgin, 97827",27545.70882,NA
"30","24-5398","Covanta Marion, Inc.","4850 Brooklake Rd. NE, Brooks, 97305",26331.6261125668,33.56372737
"31","18-0014","Columbia Forest Products, Columbia Plywood Corporation","4949 S Highway 97, Klamath Falls, 97601",25813.207094,NA
"32","10-0030","Swanson Group Mfg. LLC Roseburg Stud Division","2635 Old Highway 99 South, Roseburg Oregon, 97470",25714.0062496,7.2591648
"33","15-0073","Roseburg Forest Products Medford MDF","2865 N. Pacific Hwy, Medford, 97501",25532.7156136975,1.6006648356
"34","22-2522","Plant # 3 Plywood Division","47842 yons-Mill City Dr., Mill City, 97360",24125.0460833595,312.979006554545
"35","22-6002","Freres Lumber Co. Inc. Lyons Facility","141 14th St., Lyons, 97358",23957.645104913,239.100707353909
"36","03-2777","Miles Fiberglass & Plastics Inc.  Building A","1516 Main St , Oregon City, 97045",23949.87133665,NA
"37","10-0022","Murphy Company - Engineered Wood Division","412 West Central Avenue, Sutherlin, 97479",23158.7801014808,9.211723812
"38","15-0014","Murphy Plywood Softwood Division","5205 North River Road, Rogue River, 97537",22311.976611344,0.3360834944
"39","05-0014","Clatskanie Chip Plant","76103 Highway 47, Clatskanie   , 97016",21871.6440943035,NA
"40","24-0070","Specialty Polymers, Inc.","2475 Progress Way, Woodburn, 97071",20565.7865757,0.531198
"41","03-2533","Interfor US Inc. – Molalla Division","15555 S. Highway 211, Molalla, 97038",20267.4325624,12.492956
"42","34-2066","Stimson Lumber Company - Forest Grove Facility","49800 SW Scoggins Valley Road, Gaston, 97119",20052.8649132121,NA
"43","24-8082","Ennis Flint, Inc.","1675 Commercial Street NE, Salem, 97301",19815.0554245669,NA
"44","26-0088","Mutual Materials Company","2300 Se Hogan Road, Gresham , 97080",19612.45466674,12.4320079
"45","03-1791","RSG Forest Products, Inc. ","28890 Highway 213, Molalla, Oregon, 97038",18985.0245851939,8.617212
"46","10-0121","Hoover Treated Wood Products, Inc.","303 Dillard Gardens Road, Winston, 97496",18886.7714274503,3.5645320711
"47","34-2678","Viasystems Corporation (dba TTM Technologies, Inc.)","1521 Poplar Lane, Forest Grove, 97116",18426.6789828589,4.18400823252868
"48","26-0100","Columbia Boulevard WWTP","5001 N. Columbia Boulevard, Portland, 97203",18283.937571446,3.52710612
"49","03-2778","Miles Fiberglass & Plastics Inc.","8855 SE Otty Road, Happy Valley, 97086",17939.764741757,NA
"50","19-0002","Lakeview Sawmill","1600 Missouri Avenue, Lakeview, 97630",17109.0173227988,1657.94995280225
"51","02-7082","Philomath Georgia-Pacific Wood Products, LLC","24808 Alsea Highway, Philomath, 97370",15366.6458130584,9.0989534988
"52","26-2043","CertainTeed Corporation","6350 NW Front Avenue, Portland, 97210",15041.6991673346,12.6834447272
"53","22-3010","Weyerhaeuser Company - Foster Engineered Lumber Products","6011 Highway 20 East, Sweet Home, 97386",15005.011118966,0.18218124
