"","company_source_no","addr_hash_pt1","total_unfiltered_materials_all_pollutants"
"1"," 03-2657","03-2657_WCP, Inc Compressed",0
"2","02-0005","02-0005_HP_Inc",191.41
"3","02-2054","02-2054_Morse Bros., Inc",0
"4","02-2125","02-2125_CPM Development Corporation",0
"5","02-7082","02-7082_Georgia-Pacific Wood Products",10337.0503979
"6","03-0002","03-0002_Oldcastle Precast, Inc",0
"7","03-0003","03-0003_S.R. Smith, LLC",2976.32134
"8","03-0007","03-0007_Glacier Northwest, Inc. Compressed",0
"9","03-0009","03-0009_Atlas Industrial Coating, Inc",58859.2565
"10","03-0010","03-0010_Clackamas County Water Environment Services",1087.19643288591
"11","03-0011","03-0011_Water Environment Services",2231.20206644295
"12","03-0020","03-0020_PCC Structurals, Inc",1008.5
"13","03-0041","03-0041_McClure Industries, Inc",0
"14","03-0048","03-0048_Kaiser Permanente",0
"15","03-0051","03-0051_Kaiser Permanente",0
"16","03-0053","03-0053_TM Clackamas",0
"17","03-0057","03-0057_2_AGC Heat Transfer, Inc",0
"18","03-0065","03-0065_Conveyco",1013.1489807876
"19","03-0098","03-0098_PECO Inc",22463.5522677931
"20","03-0113","03-0113_Xerox Corporation",9349.62465037616
"21","03-2145","03-2145_West_Linn_Paper_Company",1973.846647
"22","03-2505","03-2505_Orchid Orthopedic Solutions",247.62528
"23","03-2624","03-2624_Oregon Cutting Systems",16961.34362545
"24","03-2719","03-2719_Georgia Pacific Gypsum, LLC",1012
"25","03-2729","03-2729_Northwest Pipeline LLC",0
"26","03-2754","03-2754_Albertson's LLC",11766.770390766
"27","03-2763","03-2763_Stutzman_Environmental_Products",0
"28","03-2777","03-2777_Miles Fiberglass & Plastics, Inc.",357.815
"29","03-2778","03-2778_Miles Fiberglass & Plastics, Inc.",1273.96556
"30","04-0004","04-0004_Georgia-Pacific Consumer Products LP",135855.195553008
"31","04-0041","04-0041_Hampton Lumber Mills, Inc",528.930071334214
"32","05-1849","05-1849_Cascades Tissue Group Oregon",262163.828784
"33","05-2085","05-2085_Armstrong_World_Industries_Inc_Sept1submittal",1781.25
"34","05-2520","05-2520_Portland General Electric Company",33351.8531497368
"35","05-2598","05-2598_Enerfin Resources Northwest Ltd. Ptp.",0
"36","06-0010","06-0010_Roseburg Forest Products Co",38384.8409179506
"37","06-0028","06-0028_Allweather Wood, LLC",271.35
"38","07-0001","07-0001_Contact Industries",5482.086964
"39","09-0015","09-0015_JELD-WEN, inc",318.44062
"40","09-0018","09-0018_1_Team Millwork, LLC Compressed",0
"41","09-0036","09-0036_Bend Research, Inc",1583.360546
"42","09-0072","09-0072_Genesis Acquisition Company, Inc. dba Northland Furniture Company, LLC",6200.6818804032
"43","10-0008","10-0008_Oregon Door Company",584.17712669168
"44","10-0013","10-0013_Roseburg Forest Products Co",22496.7
"45","10-0018","10-0018_D. R. Johnson Lumber Co",4565.442564
"46","10-0025","10-0025_Roseburg Forest Products Co",31829.871295604
"47","10-0033","10-0033_Orenco_Systems_Inc",22115.07374883
"48","10-0054","10-0054_Emerald Forest Products, Inc",32.3149015551816
"49","10-0078","10-0078_Roseburg Forest Products Co",5480.3409674
"50","10-0152","10-0152_Northwest Pipeline LLC",0
"51","10-0154","10-0154_V-T West, Inc",766.212
"52","11-0002","11-0002_Chemical Waste Management",0
"53","11-0006","11-0006_InEnTec_Columbia_Ridge_Rev_0",0
"54","15-0004","15-0004_Boise Cascade Wood Products, LLC",1409.11050995
"55","15-0005","15-0005_Cascade Wood Products, Inc",6815.294555676
"56","15-0014","15-0014_Murphy Company dba Murphy Plywood",0
"57","15-0020","15-0020_Boise Cascade Wood Products, LLC",75.7685664
"58","15-0025","15-0025_Timber Products Co. Limited Partnership",19369.598093442
"59","15-0028","15-0028_Linde Gas North America LLC",1218.54538928
"60","15-0029","15-0029 Carestream Health, Inc",430610
"61","15-0073","15-0073_Roseburg Forest Products Co",101.3
"62","15-0104","15-0104_Allweather Wood, LLC",14141
"63","15-0218","15-0218_CDS Publications, Inc",482.7324
"64","15-0222","15-0222_Boise Cascade Wood Products, LLC",14.292644128
"65","16-0003","16-0003_Bright Wood Corporation",11448.837784956
"66","17-0030","17-0030_TP Grants Pass, LLC",1544.0375
"67","18-0006","18-0006_JELD-WEN, Inc",630.801098
"68","18-0013","18-0013_Collins Products LLC",12312.2827495636
"69","18-0014","18-0014_Columbia Forest Products, Inc",10219.51505
"70","18-0022","18-0022_Electro Scientific Industries, Inc",1406.68969092938
"71","18-0089","18-0089_JELD-WEN, Inc",2917.099768904
"72","22-0005","22-0005_CMH Manufacturing West, Inc",2060.52053897718
"73","22-0006","22-0006_Palm Harbor Homes, Inc",2332.66417771372
"74","22-0011","22-0011_Pacific Cast Technologies, Inc. dba ATI Cast Products",204421.788
"75","22-0042","22-0042_Isovolta Inc",4360
"76","22-0044","22-0044_C.G.Industries, Inc",0.8932
"77","22-0547","22-0547_TDY Industries, LLC dba ATI Wah Chang",151553.1255
"78","22-2522","22-2522_Freres Lumber Co. Inc",192.9676875
"79","22-2525","22-2525_Frank Lumber Co. Inc",54.7563
"80","22-3010","22-3010_Weyerhaeuser NR Company",76.2598682
