"address","county"
"33060 Shirttail Creek Road, Durkee, 97905","Baker County"
"7.5 Miles NW of Baker City to Chandler Lane, Baker City, 97814","Baker County"
"28602 Hwy 34, Corvallis, 97339","Linn County"
"28504 Payne Rd, Corvallis, 97339","Benton County"
"1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2), Corvallis, 97339","Benton County"
"3015 SW Western Blvd, Corvallis, 97331","Benton County"
"24808 Alsea Highway, Philomath, 97370","Benton County"
"28972 Coffin Butte Road, Corvallis, 97330","Benton County"
"PO Box 323, 28499 SW Boberg Rd., Wilsonville, 97070","Clackamas County"
"1017 SW Berg Parkway, Canby, 97013","Clackamas County"
"11340 SE Jennifer Street, Clackamas, 97015","Clackamas County"
"11525 SE McLoughlin Blvd., Milwaukie, 97222","Clackamas County"
"15941 S. Agnes Avenue, Oregon City, 97045","Clackamas County"
"6160 South Whiskey Hill Road, Hubbard Oregon, 97032","Clackamas County"
"9205 S Kraxberger Rd., Canby, 97013","Clackamas County"
"9051 SE 55th Avenue, Portland, 97206","Clackamas County"
"10180 SE Sunnyside Rd, Clackamas, 97015","Clackamas County"
"26600 SW Parkway Avenue, Suite #200, Wilsonville, 97070","Clackamas County"
"15500 SE 102nd Ave , Clackamas, 97015","Clackamas County"
"9109 SE 64th Ave., Portland, 97206","Clackamas County"
"13626 S Freeman Rd., Mulino, 97042","Clackamas County"
"15151 S.E. Minuteman Way, Clackamas, Oregon, 97015","Clackamas County"
"5209 SE International Way, Milwaukie, 97222","Clackamas County"
"11241 SE Hwy 212, Clackamas, 97015","Clackamas County"
"28890 Highway 213, Molalla, Oregon, 97038","Clackamas County"
"4800 Mill Street, West Linn, 97068","Clackamas County"
"13963 Fir street , Oregon City, 97045","Clackamas County"
"15555 S. Highway 211, Molalla, 97038","Clackamas County"
"4909 SE International Way, Milwaukie, 97222","Clackamas County"
"23123 SE Eagle Creek Road, PO Box 250, Eagle Creek, 97022","Clackamas County"
"800 NW 3rd Avenue, Canby, 97013","Clackamas County"
"505 NE 3rd Avenue, Canby, 97103","Clackamas County"
"13124 Springwater Road South, Oregon City    , 97045","Clackamas County"
"10448 Highway 212, Clackamas, 97015","Clackamas County"
"9450 SE Mangan Dr, Clackamas Or, 97015","Clackamas County"
"410 industrial Way, Mollala, 97038","Clackamas County"
"1516 Main St , Oregon City, 97045","Clackamas County"
"8855 SE Otty Road, Happy Valley, 97086","Clackamas County"
"10405 S. Barnards Road, Molalla, OR, 97038","Clackamas County"
"10151 SE Jennifer Street, Clackamas, 97015","Clackamas County"
"26994 SW 95th Avenue, Wilsonville, 97070","Clackamas County"
"92326 Taylorville Road, Clatskanie, 97016","Clatsop County"
"1935 NW Warrenton Drive, Warrenton, 97146","Clatsop County"
"550 Skipanon Drive, Warrenton, 97146","Clatsop County"
"81200 Kallunki Road, Clatskanie, 97016","Columbia County"
"92328 Taylorville Rd., Clatskanie, OR, 97016","Clatsop County"
"76103 Highway 47, Clatskanie   , 97016","Columbia County"
"1300 Kaster Road, St. Helens, 97051","Columbia County"
"63149 Columbia River Highway, Deer Island, 97054","Columbia County"
"1645 Railroad Avenue, St. Helens, 97051","Columbia County"
"80997 and 81566 Kallunki Road, Clatskanie, 97016","Columbia County"
"off private logging road, northwest of Mist, OR, Mist, not applicable",""
"Cedar Point Road, Coquille, 97423","Coos County"
"69015 Hauser Depot Rd, North Bend , 97459","Coos County"
"1155 N. Main     PO Box 309, Prineville, OR, 97754","Crook County"
"3920 NW Lamonta Road, Prineville, 97754","Crook County"
"717 NW Madras Highway, Prineville, 97754","Crook County"
"735 SW Connect Way, Prineville, 97754","Crook County"
"1600 SW Baldwin Rd., Prineville, 97754","Crook County"
"P.O. Box 820, Brookings, Oregon, 97415","Curry County"
"17345 Carpenterville Road, P.O. Box 670, Brookings, Oregon","Curry County"
"62845 Boyd Acres Road, Bend, 97701","Deschutes County"
"630 SE 1ST STREET, REDMOND, 97756","Deschutes County"
"345 NE Hemlock Ave., Redmond, 97756","Deschutes County"
"20503 Builders Street, Bend, 97701","Deschutes County"
"61050 SE 27th Street, Bend, 97702","Deschutes County"
"U.S. 97, 19 miles south of Bend, Oregon, Bend, 97702","Deschutes County"
"20950 Talus Place, Bend, OR, 97701","Deschutes County"
"477 Dillard Gardens Road , Dillard, OR, 97432","Douglas County"
"398 Del Rio Rd., Rosebur, 97471","Douglas County"
"4500 Riddle Bypass Road, Riddle, 97469","Douglas County"
"412 West Central Avenue, Sutherlin, 97479","Douglas County"
"10599 Old Highway 99 South, Dillard, 97432","Douglas County"
"2635 Old Highway 99 South, Roseburg Oregon, 97470","Douglas County"
"384 McLain West Avenue, Roseburg , 97470","Douglas County"
"814 Airway Ave., Sutherlin, 97479","Douglas County"
"303 Mehlwood lane, Glendale , Oregon, 97442","Douglas County"
"649 Fir Street, Drain, 97435","Douglas County"
"3064 Cow Creek Road, Riddle, 97469","Douglas County"
"303 Dillard Gardens Road, Winston, 97496","Douglas County"
"1137 Brozio Road, Winchester   , 97495","Douglas County"
"384 McLain West Ave, Roseburg, 97471","Douglas County"
"18177 Cedar Springs Landfill and Recycling Center, Arlington, 97812","Gilliam County"
"17661 Cedar Springs Lane, Arlington, OR, 97812","Gilliam County"
"60339 West Highway 26, John Day, OR, 97845","Grant County"
"5 NW Cramblett Way, Cascade Locks, OR, 97014","Hood River County"
"3285 N. Pacific Hwy, Medford, OR, 97501","Jackson County"
"7975 11th Street, White City, 97503","Jackson County"
"5205 North River Road, Rogue River, 97537","Jackson County"
"1795 Antelope Road, White City, OR, 97503","Jackson County"
"1200 Ave G, White City, 97503","Jackson County"
"25 E. McAndrews Road, Medford, 97501","Jackson County"
"8124 Pacific Avenue, White City, 97503","Jackson County"
"1100 Kirtland Road, Central Point, 97502","Jackson County"
"7890Agate Road, White City, OR, 97503","Jackson County"
"2865 N. Pacific Hwy, Medford, 97501","Jackson County"
"7893 Pacific Avenue , White City , 97503","Jackson County"
"2350 Avenue G, White City, Oregon, 97503","Jackson County"
"2603 South Pacific Highway, Medford, 97501","Jackson County"
"1155 Antelope Road, White City, OR, 97503","Jackson County"
"Oregon Hwy. 26, 12 miles south of Madras, Oregon, Madras, 97741","character(0)"
"1090 SE M Street, Grants Pass, 97526","Josephine County"
"550 SE Mill Street, Grants Pass , 97526","Josephine County"
"4940 Hwy 97 S, Klamath Falls, 97601","Klamath County"
"#1 Sawmill Road, Gilchrist, 97737","Klamath County"
"3303 Lakeport Blvd, Klamath Falls, 97601","Klamath County"
"6410 Highway 66, Klamath Falls,, 97601","Klamath County"
"4949 S Highway 97, Klamath Falls, 97601","Klamath County"
"1291 Laverne Ave., Klamath Falls, 97601","Klamath County"
"4700 ESI Way , Klamath Falls , 97601","Klamath County"
"Harpold Valley Road, 3 miles south of Bonanza, Bonanza, 97623","Klamath County"
"31725 Highway 97, Suite A, Chiloquin, 97624-9702","Klamath County"
"¼ mile west of Diamond Lake Junction off US 97 & 138, Chemult, 97731","Klamath County"
"221 Wagner Street, Suite 16, Klamath Falls, 97603","Klamath County"
"1600 Missouri Avenue, Lakeview, 97630","Lake County"
"Tax lot # 39S20E000004900 (No address assigned yet); Latitude 42°9'41.76""N; Longitude 120°21'0.87""W, Lakeview, 97630","Lake County"
"1400 SE Butler Bridge Rd, Toledo, 97391","Lincoln County"
"1554 Yaquina Bay Road, Newport, 97365","Lincoln County"
"1310 SE Bay Blvd, Newport, 97365","Lincoln County"
"2445 Pacific Blvd., SW, Albany, 97321","Linn County"
"3737 Palm Harbor Drive, Millersburg, 97321","Linn County"
"33710 Oakville Road, Albany, 97321","Linn County"
"150 Queen Ave SW, Albany, 97322","Linn County"
"495 Territorial Street, Harrisburg, 97446","Linn County"
"1282 Commercial Way SE, Albany, 97322","Linn County"
"2550 Old Salem Road NE, Albany, 97321","Linn County"
"530 34th Ave SW, Albany, 97322","Linn County"
"1600 Old Salem Rd NE, Albany, 97321","Linn County"
"34363 Lake Creek Drive, Brownsville, OR, 97327","Linn County"
"47842 yons-Mill City Dr., Mill City, 97360","Linn County"
"47983 Lyons-Mill City Drive, Lyons, 97358","Linn County"
"6011 Highway 20 East, Sweet Home, 97386","Linn County"
"30480 American Drive, Halsey, 97348","Linn County"
"141 14th St., Lyons, 97358","Linn County"
"1290 Industrial Way, Albany, 97322","Linn County"
"250 Hansard Ave, Lebanon, OR, 97355","Linn County"
"30470 American drive, Halsey, 97348","Linn County"
"33992 SE Seven Mile Ln., Albany, 97322","Linn County"
"34939 Spicer Drive SE, Albany, 97321","Linn County"
"30725 Diamond Hill Road, Harrisburg, 97446","Linn County"
"525 25th Ave SW, Albany, Oregon, 97322","Linn County"
"3122 Stahlbush Island Rd., Corvallis, OR, 97333","Linn County"
"3000 Calapooia Street SW, Albany, 97322","Linn County"
"175 NE 6th Ave, Ontario, 97914","Malheur County"
"2630 Graham Blvd., Vale, 97918","Malheur County"
"2655 Progress Way, Woodburn, 97071","Marion County"
"3125 Kettle Ct. SE, Salem, 97301","Marion County"
"2475 Progress Way, Woodburn, 97071","Marion County"
"23019 Main St NE, St. Paul, 97317","Marion County"
"2470 Ewald Ave. SE, Salem, 97302","Marion County"
"2490 Ewald Ave. SE, Salem, 97302","Marion County"
"2785 N. Front St., Woodburn, 97071","Marion County"
"3958 Boone Rd SE, Salem, 97301","Marion County"
"5915 Windsor Island Road Noarth, Salem, 97303","Marion County"
