00001	EP 1	DRILLING HOLES FOR BLASTING AND EXPLORATION	30532010	9303
00002	EP 3	PUSHING BLASTED ROCK FROM QUARRY BENCHES TO QUARRY FLOOR	30532011	9303
00003	EP 4	992 FEL LOAD HAUL TRUCK (Picking Up Rock from Floor for Transport to Crusher)	30532033	9303
00004	EP 5	HAUL TRUCK MILES (Unpaved Road Transport of Limestone from Quarry Face to Crusher)	30532090	9303
00005	EP 6	HAUL TRUCK UNLOADING INTO PRIMARY CRUSHER HOPPER	30532031	9303
00006	EP 8	232.VF1 FEEDER TRANSFER TO 232.BC1 BELT	30532006	9303
00007	EP 9	232.BC1 BELT TRANSFER TO 232.ST1 STACKER	30532006	9303
00008	EP 12	232.BC2 BELT TRANSFER TO 232.BC3 BELT	30532006	9303
00009	EP 13	232.BC3 BELT TRANSFER TO 232.BC4 BELT	30532006	9303
00010	EP 14	232.BC4 BELT TRANSFER TO 252.BC1 BELT	30532006	9303
00011	EP 16	252.BC2 BELT TRANSFER TO 252.HP1 HOPPER	30532006	9303
00012	EP 22	252.BC3 BELT TRANSFER TO 252.ST1 STACKER	30532006	9303
00013	EP 25	252.BC4 BELT TRANSFER TO 252.ST2 STACKER	30532006	9303
00014	EP 28	252.BC5 BELT TRANSFER TO 252.ST3 STACKER	30532006	9303
00015	EP 35	282.BC2 BELT TRANSFER TO 282.BC1 BELT	30532006	9303
00016	EP 36	282.BC1 BELT TRANSFER TO 282.BC3 BELT	30532006	9303
00017	EP 40	281.FE1 FEEDER HOPPER TRANSFER TO 281.BC1 BELT	30504603	9303
00018	EP 40	281.FE1 FEEDER HOPPER TRANSFER TO 281.BC1 BELT	30504603	9303
00019	EP 41	281.BC1 BELT TRANSFER TO 281.BC4 BELT	30504603	9303
00020	EP 41	281.BC1 BELT TRANSFER TO 281.BC4 BELT	30504603	9303
00021	EP 50	Transfer from belt 271.BC3 to belt 271.BC4/282.BC3	30504603	9303
00022	EP 50	Transfer from belt 271.BC3 to belt 271.BC4/282.BC3	30504603	9303
00023	EP 53	FUGITIVE EMISSIONS FROM 232.VF2 Through 232.VF8	30532006	9303
