00139	Acid Scrubber	Chlorine	NA	NA	2712
00140	Wafer Processing 	Cresols	NA	NA	2712
00141	POU Chiller	Ethylene Glycol	NA	NA	2712
00142	Acid Scrubber	Hydrogen Fluoride	NA	NA	2712
00143	Acid Scrubber	Hydrochloric Acid	NA	NA	2712
00144	Wipe down, evap	Methanol	NA	NA	2712
00145	Wafer Processing	2-Propanol	NA	NA	2712
00146	Wafer Processing	Ammonium Hydroxide	NA	NA	2712
00147	Wafer Processing	Sulfuric Acid	NA	NA	2712
00148	Wafer Processing	Nitric Acid	NA	NA	2712
00149	Wafer Processing	Ethyl Lactate	NA	NA	2712
00152	Cementitious Material	Portland Cement	Portland Cement Type I-II	CalPortland	4625
00153	Cementitious Material	Flyash	Flyash Class C	LAFARGE	4625
00154	Cementitious Material	Flyash	Flyash Class F	LAFARGE	4625
00155	Cementitious Material	Slag	Dura Slag	Ash Grove	4625
00156	Liquid Admixture	Admixture	Daracem 55	Grace	4625
00157	Liquid Admixture	Admixture	WRDA-64	Grace	4625
00158	Liquid Admixture	Admixture	V-MAR-3	Grace	4625
00159	Liquid Admixture	Admixture	Daravair 1000	Grace	4625
00162	Cementitious material	Slag	Duraslag	Ashgrove	4625
00163	Cementitious material	Portland Cement	Portland Cement Type I-II	Ashgrove	4625
00164	Cementitious material	Flyash	Flyash Class F	ISG Headwater Resources	4625
00165	Liquid Admixture	Admix	MasterSet AC 122	BASF	4625
00166	Liquid Admixture	Admix	MasterSet AC 534	BASF	4625
00167	Liquid Admixture	Admix	MasterGlenium 3030	BASF	4625
00168	Liquid Admixture	Admix	MasterSet Delvo	BASF	4625
00169	Liquid Admixture	Admix	MasterPolyheed 997	BASF	4625
00170	Liquid Admixture	Admix	MasterPozzolith 80	BASF	4625
00171	Bagged Admixture ***	Admix	MasterLIfe 300D	BASF	4625
00172	*****This admix is in a bag that is thrown into the concrete, the bag material breaks down and the material is mixed into the concrete.	NA	NA	NA	4625
00173	It is not an exposed dry material addition.  	NA	NA	NA	4625
00191	Surface coating or Wood Treatment Planer Mill	Mycostat Anti Sap Stain  Coating	Mycostat P20  + Diamulse C (Custom Blend 20+80)	Diacon Technologies Ltd., a Lonza company	921
00192	Surface coating or Wood Treatment Planer Mill	Anti Sap Stain Coating Additive	Ferrobrite AQ 	Diacon Technologies Ltd., a Lonza company	921
00193	Surface coating or Wood Treatment Planer Mill	Anti Sap Stain Coating Additive	Diamulse CX	Diacon Technologies Ltd., a Lonza company	921
00194	Surface coating or Wood Treatment Sawmill	Black Ink	245-2 Black Grade Stamp Ink	Walker Emulsions, Inc.	921
00195	Surface coating or Wood Treatment Sawmill & Planer Mill	Pack Marking Paint	IC +SSPR 6PK Ultra Flat Black	Rust-Oleum Corporation	921
00196	Surface coating or Wood Treatment Sawmill & Planer Mill	Printing Ink	IR-234BK Printing Ink	Domino UK Ltd	921
00197	Surface coating or Wood Treatment Sawmill & Planer Mill	Printing Ink	IC-234BK Printing Ink	Domino UK Ltd	921
00198	Surface coating or Wood Treatment Sawmill & Planer Mill	Printing Ink Wash	WL-200 WASH	Domino UK Ltd	921
00199	Surface coating or Wood Treatment Sawmill & Planer Mill	Printing Ink Make Up	MC-234BK MAKE UP	Domino UK Ltd	921
00212	COAT	Bituminous Coating	Coatmasters 7007	Imrae	4625
00213	WELD	Welding Stick	Electrode Stick 1/8" X 14" E6011	Lincoln Electric	4625
00224	Paint Room:  Board Repair	Bondo	Cream Hardner	3M:  Bondo Corporation	921
00225	Maintenance:  Parking Lot Lines	Enamel Paint	Rohper LSPR	Rust-oleum Corporation	921
00226	Maintenance:  Brick Walls	Water Proofer	Oil Base Drylok Masonry Waterproofer	United Gilsonite Labs	921
00227	Boards:  Wrapping	Adhesive	Super 77 Adhesive	3M 	921
00228	Maintenance:  Blackberries	Herbicide	Crossbow Herbicide	Dow AgroSciences	921
00229	Boards  	Concentrate	R-5 Red Concentrate	United Initators	921
00230	Maintenance	Spray Cleaner	Brakleen Brake Parts Cleaner Non Chlorinated	CRC Industries	921
00231	Maintenance:  ORC Anchors	Elastocast	Elastocast T76	BASF Corporation	921
00232	Maintenance:  Cleaner	Isopropyl Alcohol	Electronics Cleaner	MG Chemicals	921
00233	Cage	Silica	Vermiculite	Therm-O-Rock East	921
00234	Paint Room:  Board Repair	Body Filler	Body Filler	Rogers Auto (Bondo)	921
00235	Paint Room:  Board Repair	Resin	Fiber Glass Resin	Bondo	921
00236	Methyl Ethyl Ketone	Paints and Primers	NA	NA	921
00237	Methyl Methacrylate	Paints and Primers	NA	NA	921
00238	Catalyst	FS100 & MEC	NA	NA	921
00239	Transcoat Lacquer	Toluene	NA	NA	921
00240	Paints & Primers	Xylene	NA	NA	921
00243	Cementitious material	Slag	Duraslag	Ashgrove	4625
00244	Cementitious material	Portland Cement	Portland Cement Type I-II	CalPortland	4625
00245	Liquid Admixture	Admix	MasterAir AE 90	BASF	4625
00246	Blend	DiHexylene Glycol	DiHex	Univar	921
00247	Glaze	Americoat Plus 124	Americoat Plus 124	Wacker	921
00253	Fiber Cleaning	Sodium Hypochlorite (Chlorine Component)	STARCHLOR	Northstar Chemical, Inc.	8592
00254	UV Lights Bath	Phosphoric acid	Phosphoric Acid 75% FCC Kosh GSO	Brenntag Pacific Inc.	8592
00255	Sludge Flocculant	Hexafloc CD-130M	Hexafloc CD-130M	Hexagon Technologies, Inc. 	8592
00262	Fiber Cleaning	Sodium Hypochlorite (Chlorine Component)	STARCHLOR	Northstar Chemical, Inc.	8592
00263	Scrubber Solution	Sodium Hydroxide	Sodium Hydroxide Solution	Northstar Chemical, Inc.	8592
00264	Water Disinfection	Peracetic Acid	VigorOx WWT II	PeroxyChem	8592
00265	Water Disinfection	Chlorine Gas	Chlorine	Axiall, LLC	8592
00297	Core Facility	IPA	NA	NA	921
00298	Core Facility	Naphthalene	NA	NA	921
00299	Vacudyne sterilizer	Ethylene Oxide	Ethylene Oxide	ARC Chemical	9036
00308	Insert rows above this row!	NA	NA	NA	921
00312	COAT	Duct Sealant	Force Flow/LaSalle 181	LaSalle Air Systems	4625
00313	COAT	Colormetric Acrylic Putty	Colorimetric Acrylic Finger Putty	Cast Products Corp. - Colorimetric Div.	4625
00314	COAT	Paint, Interior- Dromedary Camel	MESA+ Interior Latex Scrubbable Flat Paint, Extra White (B30WJ581)	The Sherwin-Williams Company	4625
00315	WELD	Aluminum Rod	NA	NA	4625
00319	COAT	Duct Sealant	Force Flow/LaSalle 181	LaSalle Air Systems	4625
00320	COAT	Colormetric Acrylic Putty	Colorimetric Acrylic Finger Putty	Cast Products Corp. - Colorimetric Div.	4625
00321	COAT	Paint, Interior- Dromedary Camel	MESA+ Interior Latex Scrubbable Flat Paint, Extra White (B30WJ581)	The Sherwin-Williams Company	4625
00322	WELD	Aluminum Rod	NA	NA	4625
00333	Painting/Coatings	Cear Coat	1100727	Sherwin Williams	4625
00334	Painting/Coatings	Primer	21	Sherwin Williams	4625
00335	Painting/Coatings	Cleaner	4600800	Sherwin Williams	4625
00336	Painting/Coatings	Primer	988	Sherwin Williams	4625
00337	Painting/Coatings	Blender	BS10	Sherwin Williams	4625
00338	Painting/Coatings	Blender	BS11	Sherwin Williams	4625
00339	Painting/Coatings	Clear Coat	CC939	Sherwin Williams	4625
00340	Painting/Coatings	Clear Coat	CC950	Sherwin Williams	4625
00341	Painting/Coatings	Toner	DA628	Sherwin Williams	4625
00342	Painting/Coatings	Clear Coat	DC5010	Sherwin Williams	4625
00343	Painting/Coatings	Clear Coat	DC5020	Sherwin Williams	4625
00344	Painting/Coatings	Clear Coat	DCI51	Sherwin Williams	4625
00345	Painting/Coatings	Primer	DE830	Sherwin Williams	4625
00346	Painting/Coatings	Reducer	DER832	Sherwin Williams	4625
00347	Painting/Coatings	Toner	DEP760	Sherwin Williams	4625
00348	Painting/Coatings	Toner	DEP789	Sherwin Williams	4625
00349	Painting/Coatings	Hardener	DH656	Sherwin Williams	4625
00350	Painting/Coatings	Hardener	DH658	Sherwin Williams	4625
00351	Painting/Coatings	Toner	DM500	Sherwin Williams	4625
00352	Painting/Coatings	Toner	DM504	Sherwin Williams	4625
00353	Painting/Coatings	Toner	DM505	Sherwin Williams	4625
00354	Painting/Coatings	Toner	DM508	Sherwin Williams	4625
00355	Painting/Coatings	Toner	DM509	Sherwin Williams	4625
00356	Painting/Coatings	Toner	DM510	Sherwin Williams	4625
00357	Painting/Coatings	Toner	DM511	Sherwin Williams	4625
00358	Painting/Coatings	Toner	DM512	Sherwin Williams	4625
00359	Painting/Coatings	Toner	DM513	Sherwin Williams	4625
00360	Painting/Coatings	Toner	DM514	Sherwin Williams	4625
00361	Painting/Coatings	Toner	DM515	Sherwin Williams	4625
00362	Painting/Coatings	Toner	DM517	Sherwin Williams	4625
00363	Painting/Coatings	Toner	DM521	Sherwin Williams	4625
00364	Painting/Coatings	Toner	DM522	Sherwin Williams	4625
00365	Painting/Coatings	Toner	DM523	Sherwin Williams	4625
00366	Painting/Coatings	Toner	DM526	Sherwin Williams	4625
00367	Painting/Coatings	Toner	DM529	Sherwin Williams	4625
